date,open,high,low,close,volume
2025-09-10,2622.500,2631.500,2618.000,2621.500,12271
2025-09-11,2622.000,2679.500,2621.500,2677.500,31848
2025-09-12,2676.500,2703.500,2673.000,2700.500,29275
2025-09-15,2700.500,2705.000,2680.000,2700.000,21212
2025-09-16,2701.000,2720.000,2691.000,2709.500,22836
2025-09-17,2712.500,2716.000,2679.000,2686.500,26768
2025-09-18,2681.000,2705.000,2666.500,2702.500,21426
2025-09-19,2698.500,2702.000,2666.000,2676.000,17860
2025-09-22,2676.000,2682.500,2635.000,2654.000,19409
2025-09-23,2652.500,2657.500,2633.000,2646.000,14691
2025-09-24,2642.500,2660.000,2625.500,2653.500,19589
2025-09-25,2653.500,2670.000,2638.500,2664.000,18715
2025-09-26,2660.500,2668.000,2643.000,2648.000,12271
2025-09-29,2649.000,2687.500,2649.000,2670.000,17151
2025-09-30,2670.000,2689.500,2661.500,2687.000,14858
2025-10-01,2685.000,2696.000,2680.000,2693.000,15142
2025-10-02,2690.000,2714.000,2678.000,2687.000,15306
2025-10-03,2687.500,2713.000,2686.000,2702.000,15373
2025-10-06,2708.000,2729.500,2694.500,2714.000,23025
2025-10-07,2714.500,2748.000,2711.500,2742.000,22921
2025-10-08,2742.000,2762.000,2737.500,2750.000,22830
2025-10-09,2750.000,2807.500,2746.500,2782.500,38031
2025-10-10,2786.000,2794.000,2736.000,2746.000,30619
2025-10-13,2746.000,2775.500,2744.000,2757.000,22673
2025-10-14,2759.500,2778.500,2714.500,2739.500,24457
2025-10-15,2739.500,2760.000,2732.500,2744.500,17636
2025-10-16,2737.000,2799.000,2737.000,2795.500,19845
2025-10-17,2795.000,2798.500,2741.500,2778.000,25800
2025-10-20,2777.500,2787.500,2761.000,2766.500,14854
2025-10-21,2768.000,2798.500,2764.000,2780.500,20440
2025-10-22,2780.500,2822.000,2775.000,2805.500,20095
2025-10-23,2805.000,2874.500,2804.500,2864.000,29532
2025-10-24,2863.000,2883.500,2833.000,2856.500,26575
2025-10-27,2869.000,2889.000,2862.000,2877.500,20449
2025-10-28,2877.500,2897.000,2846.500,2894.000,20666
2025-10-29,2894.000,2917.000,2870.000,2870.000,21313
2025-10-30,2870.000,2880.000,2837.000,2869.500,23676
2025-10-31,2869.500,2895.500,2844.500,2888.000,27724
2025-11-03,2888.000,2920.000,2880.500,2907.000,23672
2025-11-04,2905.000,2905.500,2841.500,2865.500,24843
2025-11-05,2865.500,2874.000,2840.000,2843.000,20510
2025-11-06,2846.000,2882.500,2831.500,2843.000,23021
2025-11-07,2844.500,2868.000,2838.500,2860.500,15407
2025-11-10,2862.500,2895.000,2860.000,2879.000,20411
2025-11-11,2885.000,2891.000,2862.000,2878.000,18629
2025-11-12,2877.000,2902.500,2872.500,2886.000,21414
2025-11-13,2886.000,2911.500,2873.000,2875.500,22158
2025-11-14,2880.500,2883.500,2834.500,2856.500,27342
2025-11-17,2857.500,2858.500,2805.000,2806.000,23763
2025-11-18,2805.000,2812.500,2770.000,2787.500,30423
2025-11-19,2786.000,2819.500,2783.000,2814.500,22603
2025-11-20,2815.000,2829.500,2801.000,2806.500,20876
2025-11-21,2803.000,2812.000,2773.000,2806.000,24526
2025-11-24,2802.500,2817.500,2796.000,2812.000,14999
2025-11-25,2807.000,2828.000,2791.000,2800.500,18391
2025-11-26,2805.000,2869.500,2804.000,2864.000,27151
2025-11-27,2856.000,2867.500,2822.000,2829.500,16349
2025-11-28,2830.000,2879.500,2826.500,2863.500,19613
2025-12-01,2877.500,2895.500,2866.000,2886.500,22220
2025-12-02,2885.000,2904.500,2850.500,2854.500,20145
2025-12-03,2854.500,2903.500,2869.000,2896.500,26588
2025-12-04,2896.000,2910.500,2877.500,2886.000,25990
2025-12-05,2893.000,2920.000,2882.000,2900.500,22743
2025-12-08,2897.000,2914.500,2871.000,2885.000,19439
2025-12-09,2885.000,2893.000,2843.000,2845.500,26300
2025-12-10,2853.000,2886.000,2846.500,2862.500,16025
2025-12-11,2877.000,2907.000,2867.500,2895.500,20627
2025-12-12,2892.500,2908.000,2856.500,2873.000,23393
2025-12-15,2869.000,2889.000,2859.500,2873.500,19866
2025-12-16,2873.500,2886.000,2850.500,2882.000,22608
2025-12-17,2882.000,2908.000,2876.000,2904.500,16844
2025-12-18,2896.000,2918.000,2887.500,2916.000,17175
2025-12-19,2916.000,2960.000,2909.500,2955.000,21404
2025-12-22,2955.000,2968.000,2938.000,2939.500,14859
2025-12-23,2943.500,2966.000,2926.500,2939.000,15860
2025-12-24,2947.000,2969.500,2943.500,2953.000,11706
2025-12-29,2966.000,2997.500,2939.000,2950.500,27581
2025-12-30,2950.500,2986.500,2948.000,2982.500,18069
2025-12-31,2982.500,2997.000,2970.500,2995.000,12859
2026-01-02,2996.000,3025.000,2986.000,3021.000,21268
2026-01-05,3024.000,3093.000,3023.500,3090.000,38905
2026-01-06,3080.500,3138.000,3080.500,3134.000,42699
2026-01-07,3080.500,3141.500,3074.500,3082.500,31814
2026-01-08,3081.000,3101.500,3049.000,3087.500,32838
2026-01-09,3081.000,3161.000,3082.500,3148.000,37747
2026-01-12,3157.000,3200.000,3143.000,3189.000,35717
2026-01-13,3189.000,3215.500,3157.500,3195.000,30852
2026-01-14,3195.000,3225.000,3176.000,3187.000,28834
2026-01-15,3187.000,3187.000,3136.000,3170.000,29782
2026-01-16,3166.500,3174.000,3113.000,3130.000,29179
2026-01-19,3142.500,3167.500,3124.500,3163.500,18098
2026-01-20,3163.500,3164.500,3096.000,3118.500,24903
2026-01-21,3116.000,3151.500,3104.500,3117.500,24310
2026-01-22,3120.000,3145.500,3106.500,3137.000,22395
2026-01-23,3140.000,3180.500,3129.500,3171.500,28227
2026-01-26,3169.000,3204.000,3159.500,3196.000,25480
2026-01-27,3182.500,3213.500,3153.000,3211.500,23691
2026-01-28,3220.000,3314.000,3219.000,3261.500,47276
2026-01-29,3285.000,3356.000,3191.000,3232.000,61209
2026-01-30,3240.000,3241.000,3057.000,3132.500,58699
2026-02-02,3127.500,3127.500,2979.500,3056.500,52536
2026-02-03,3070.000,3124.500,3042.000,3098.000,33377
2026-02-04,3108.500,3133.500,3050.000,3108.500,25932
2026-02-05,3065.000,3075.000,3014.500,3026.000,25678
2026-02-06,3021.000,3119.500,2990.000,3109.000,28499
2026-02-09,3113.500,3136.000,3077.500,3130.000,24898
2026-02-10,3121.500,3125.000,3086.500,3102.000,16496
2026-02-11,3102.000,3138.500,3094.000,3116.500,19191
2026-02-12,3117.000,3163.500,3088.500,3095.500,29602
2026-02-13,3091.000,3106.000,3015.500,3090.500,36294
2026-02-16,3076.500,3098.500,3036.500,3043.000,12645
2026-02-17,3042.500,3068.000,3028.000,3037.000,18114
2026-02-18,3029.000,3097.500,3029.000,3083.500,18058
2026-02-19,3076.500,3093.500,3036.500,3066.000,19249
2026-02-20,3074.000,3119.000,3067.000,3105.500,19121
2026-02-23,3103.000,3116.000,3081.000,3089.500,13400
2026-02-24,3097.000,3127.500,3090.000,3108.500,18149
2026-02-25,3106.000,3175.000,3102.000,3173.500,21034
2026-02-26,3173.500,3173.500,3113.500,3138.500,21480
2026-02-27,3144.500,3173.000,3128.500,3139.000,20651
2026-03-02,3169.000,3254.000,3167.000,3182.500,43660
2026-03-03,3182.500,3315.000,3151.000,3275.000,58038
