date,open,high,low,close,volume
2025-09-11,458.000,461.500,457.750,460.750,0
2025-09-12,460.750,469.000,458.750,467.500,0
2025-09-15,467.500,468.500,464.750,466.000,0
2025-09-16,466.000,470.000,465.500,468.750,0
2025-09-17,468.750,469.750,466.000,466.000,0
2025-09-18,466.000,466.500,462.500,463.000,0
2025-09-19,463.000,465.500,460.500,461.750,0
2025-09-22,461.750,462.750,457.000,459.750,0
2025-09-23,459.750,463.000,457.000,462.250,0
2025-09-24,462.250,463.500,461.000,461.000,0
2025-09-25,461.000,464.250,460.750,461.250,0
2025-09-26,461.250,461.750,459.000,459.250,0
2025-09-29,458.750,461.000,458.250,460.500,0
2025-09-30,460.500,460.750,457.500,459.000,0
2025-10-01,459.000,464.000,456.500,462.250,0
2025-10-02,462.250,466.000,460.750,464.250,0
2025-10-03,464.250,465.500,461.500,462.000,0
2025-10-06,462.000,462.250,459.250,461.000,0
2025-10-07,461.000,461.250,457.750,457.750,0
2025-10-08,457.750,460.250,457.250,458.500,0
2025-10-09,458.500,458.750,455.750,456.750,0
2025-10-10,456.750,458.000,452.750,453.250,0
2025-10-13,453.250,454.000,452.000,452.000,0
2025-10-14,452.250,453.000,451.000,452.250,0
2025-10-15,452.250,455.750,451.250,454.250,0
2025-10-16,454.250,458.500,453.750,457.500,0
2025-10-17,457.500,460.000,456.750,457.500,0
2025-10-20,457.500,459.250,456.500,458.500,0
2025-10-21,458.000,459.250,455.000,455.750,0
2025-10-22,455.750,457.500,454.750,457.250,0
2025-10-23,457.250,461.000,456.000,460.250,0
2025-10-24,460.250,460.750,459.000,459.250,0
2025-10-27,459.250,467.000,460.000,465.000,0
2025-10-28,465.000,469.250,464.500,465.500,0
2025-10-29,465.500,466.500,463.750,465.250,0
2025-10-30,465.250,466.750,460.750,463.250,0
2025-10-31,463.000,464.250,461.250,463.000,0
2025-11-03,463.000,468.000,462.000,467.500,0
2025-11-04,467.750,467.750,463.500,465.250,0
2025-11-05,465.250,469.000,464.000,468.000,0
2025-11-06,467.750,468.750,463.750,463.750,0
2025-11-07,463.750,465.000,463.000,463.000,0
2025-11-10,463.000,467.750,463.000,467.000,0
2025-11-11,467.000,470.000,466.750,469.750,0
2025-11-12,469.750,470.000,468.500,468.250,0
2025-11-13,468.250,473.500,467.000,473.250,0
2025-11-14,473.250,473.250,466.250,467.000,0
2025-11-17,467.000,472.000,465.750,469.750,0
2025-11-18,469.750,472.000,468.000,468.250,0
2025-11-19,468.750,468.750,462.500,462.750,0
2025-11-20,462.750,464.000,459.500,460.500,0
2025-11-21,460.500,461.250,458.250,460.500,0
2025-11-24,460.500,461.500,458.500,460.000,0
2025-11-25,460.000,462.250,459.750,461.250,0
2025-11-26,461.250,466.750,460.500,466.000,0
2025-11-28,465.250,469.000,464.250,468.000,0
2025-12-01,468.000,469.000,465.750,466.750,0
2025-12-02,466.750,470.500,465.000,469.250,0
2025-12-03,469.250,469.750,463.000,463.000,0
2025-12-04,463.000,465.500,461.750,464.250,0
2025-12-05,464.250,466.500,463.500,464.000,0
2025-12-08,464.000,465.250,462.750,463.500,0
2025-12-09,463.500,466.500,462.500,466.000,0
2025-12-10,466.000,466.750,462.750,463.250,0
2025-12-11,463.250,465.500,462.750,464.500,0
2025-12-12,464.500,464.750,461.250,461.500,0
2025-12-15,461.500,462.750,459.000,460.750,0
2025-12-16,460.750,461.000,457.750,458.500,0
2025-12-17,458.500,461.250,458.750,460.750,0
2025-12-18,460.750,463.500,460.500,461.750,0
2025-12-19,461.750,463.000,461.000,461.000,0
2025-12-22,461.000,464.750,461.250,463.500,0
2025-12-23,463.500,465.250,463.500,464.250,0
2025-12-24,464.250,467.750,464.000,466.750,0
2025-12-26,467.750,468.500,467.250,467.500,0
2025-12-29,467.500,468.250,462.500,462.750,0
2025-12-30,462.750,463.000,460.500,460.750,0
2025-12-31,460.750,461.750,459.500,460.250,0
2026-01-02,460.250,460.750,457.000,457.500,0
2026-01-05,457.500,464.000,457.000,463.000,0
2026-01-06,462.750,464.750,461.250,461.250,0
2026-01-07,461.250,464.250,461.750,463.750,0
2026-01-08,463.750,465.750,463.250,464.000,0
2026-01-09,464.000,465.500,463.250,463.500,0
2026-01-12,463.500,466.250,449.000,450.250,0
2026-01-13,450.250,450.750,445.250,445.250,0
2026-01-14,445.250,449.250,445.250,447.250,0
2026-01-15,447.250,449.750,446.500,446.500,0
2026-01-16,446.500,450.500,446.250,449.750,0
2026-01-20,449.750,451.750,448.500,450.500,0
2026-01-21,450.500,453.250,449.500,450.000,0
2026-01-22,450.000,452.000,449.000,451.500,0
2026-01-23,451.500,456.500,451.000,455.500,0
2026-01-26,455.500,456.250,453.750,455.250,0
2026-01-27,455.250,456.250,453.750,454.000,0
2026-01-28,454.000,459.000,454.000,457.500,0
2026-01-29,457.500,460.500,456.750,458.750,0
2026-01-30,458.750,459.250,454.000,456.500,0
2026-02-02,456.500,456.500,453.250,454.500,0
2026-02-03,454.500,457.250,454.500,457.000,0
2026-02-04,457.000,460.500,454.500,456.750,0
2026-02-05,456.750,461.250,454.500,461.000,0
2026-02-06,461.000,462.500,457.000,458.000,0
2026-02-09,458.000,457.500,455.500,457.000,0
2026-02-10,457.000,458.750,456.250,458.250,0
2026-02-11,458.250,461.000,456.750,460.000,0
2026-02-12,460.000,464.000,459.250,463.500,0
2026-02-13,463.000,464.250,462.000,463.750,0
2026-02-17,463.750,463.500,459.000,459.750,0
2026-02-18,459.750,461.750,459.000,460.250,0
2026-02-19,460.000,462.000,459.250,461.500,0
2026-02-20,460.750,465.000,460.500,464.500,0
2026-02-23,464.500,467.500,462.000,464.250,0
2026-02-24,463.500,465.000,462.250,464.250,0
2026-02-25,463.750,467.000,463.250,466.750,0
2026-02-26,466.250,469.000,465.000,467.000,0
2026-02-27,467.000,470.000,466.000,468.750,0
2026-03-02,468.750,472.000,467.250,469.000,0
2026-03-03,469.250,474.250,469.000,471.000,0
2026-03-04,470.500,472.250,467.000,469.750,0
2026-03-05,468.750,478.250,468.500,477.750,0
2026-03-06,477.750,484.750,476.250,484.250,0
2026-03-09,484.250,488.250,479.000,479.250,0
2026-03-10,477.000,483.000,474.500,482.250,0
2026-03-11,481.500,486.750,481.250,486.250,0
2026-03-12,486.500,489.500,485.750,486.250,0
2026-03-13,486.250,488.250,484.000,487.750,0
2026-03-16,487.750,488.250,479.000,480.250,0
2026-03-17,480.250,483.750,476.250,480.500,0
2026-03-18,481.500,487.250,480.000,485.750,0
2026-03-19,485.750,490.000,485.250,489.500,0
2026-03-20,489.500,490.250,487.000,489.500,0
2026-03-23,489.500,492.000,482.750,487.250,0
2026-03-24,488.000,489.500,486.750,487.750,0
2026-03-25,487.750,492.250,486.250,492.250,0
2026-03-26,491.000,493.750,490.000,492.750,0
2026-03-27,492.250,495.000,492.000,492.250,0
2026-03-30,492.000,494.500,487.750,487.500,0
2026-03-31,487.500,493.250,485.000,490.750,0
2026-04-01,490.750,491.250,483.250,489.250,0
2026-04-02,489.250,492.750,488.000,489.500,0
2026-04-06,489.500,492.750,487.250,491.750,0
2026-04-07,491.750,493.750,490.500,491.250,0
2026-04-08,490.000,490.000,485.500,487.500,0
2026-04-09,487.250,489.750,484.250,484.500,0
2026-04-10,485.250,485.750,481.750,483.250,0
2026-04-13,487.250,488.000,482.000,482.500,0
2026-04-14,482.500,485.500,481.750,482.500,0
2026-04-15,482.500,488.750,482.750,488.000,0
2026-04-16,488.000,490.000,486.250,486.250,0
2026-04-17,486.250,488.750,483.250,488.000,0
2026-04-20,488.000,491.000,487.000,488.750,0
2026-04-21,488.750,492.750,488.750,491.250,0
2026-04-22,491.000,493.500,490.250,491.000,0
2026-04-23,491.000,495.500,490.750,494.000,0
2026-04-24,494.250,495.750,493.750,494.250,0
2026-04-27,494.500,498.000,494.000,497.750,0
2026-04-28,497.750,500.750,497.000,500.000,0
2026-04-29,500.000,503.000,499.000,500.750,0
2026-04-30,500.750,502.000,499.000,499.750,0
2026-05-01,499.250,506.000,499.000,503.500,0
2026-05-04,503.500,510.500,502.000,509.750,0
2026-05-05,509.750,510.250,504.750,506.500,0
2026-05-06,505.750,506.500,497.500,499.750,0
2026-05-07,500.000,501.500,495.500,500.250,0
2026-05-08,500.500,506.750,500.000,505.250,0
2026-05-11,505.250,509.750,504.750,508.000,0
2026-05-12,508.500,513.000,504.750,511.250,0
2026-05-13,511.250,513.750,510.000,511.000,0
2026-05-14,510.000,512.750,499.500,501.500,0
2026-05-15,501.500,505.500,493.500,494.250,0
2026-05-18,494.250,506.250,498.000,502.750,0
2026-05-19,502.750,504.250,499.750,502.250,0
2026-05-20,502.250,503.500,494.500,497.500,0
2026-05-21,497.500,499.000,493.250,495.250,0
2026-05-22,495.250,499.250,494.000,497.000,0
2026-05-26,493.500,496.750,491.750,493.750,0
