date,open,high,low,close,volume
2025-09-10,3077.000,3078.000,3018.000,3020.000,335740
2025-09-11,3021.000,3063.000,3014.000,3044.000,446708
2025-09-12,3044.000,3062.000,3034.000,3040.000,399077
2025-09-15,3091.000,3197.000,3079.000,3143.000,1122666
2025-09-16,3150.000,3160.000,3108.000,3113.000,553766
2025-09-17,3098.000,3126.000,3085.000,3116.000,413472
2025-09-18,3110.000,3144.000,3104.000,3132.000,509818
2025-09-19,3130.000,3148.000,3106.000,3112.000,389049
2025-09-22,3124.000,3130.000,3065.000,3075.000,422949
2025-09-23,3069.000,3088.000,3046.000,3065.000,333124
2025-09-24,3065.000,3080.000,3037.000,3056.000,337413
2025-09-25,3055.000,3091.000,3051.000,3076.000,234272
2025-09-26,3068.000,3071.000,3035.000,3036.000,284414
2025-09-29,3029.000,3046.000,3008.000,3016.000,246222
2025-09-30,3006.000,3038.000,3001.000,3038.000,210194
2025-10-09,2890.000,2925.000,2840.000,2871.000,356173
2025-10-10,2870.000,2872.000,2805.000,2806.000,324190
2025-10-13,2780.000,2823.000,2771.000,2808.000,243294
2025-10-14,2830.000,2865.000,2827.000,2852.000,310934
2025-10-15,2870.000,2885.000,2834.000,2855.000,178121
2025-10-16,3013.000,3026.000,2974.000,2977.000,117937
2025-10-17,2972.000,2989.000,2947.000,2959.000,133251
2025-10-20,2900.000,2945.000,2880.000,2920.000,260615
2025-10-21,2920.000,2953.000,2906.000,2946.000,239205
2025-10-22,2962.000,2963.000,2923.000,2925.000,174043
2025-10-23,2925.000,3039.000,2925.000,3027.000,470734
2025-10-24,3027.000,3092.000,2999.000,3086.000,531207
2025-10-27,3100.000,3145.000,3085.000,3134.000,560549
2025-10-28,3122.000,3125.000,3078.000,3099.000,356223
2025-10-29,3085.000,3184.000,3085.000,3165.000,676357
2025-10-30,3153.000,3175.000,3140.000,3157.000,315481
2025-10-31,3164.000,3169.000,3121.000,3146.000,336280
2025-11-03,3120.000,3179.000,3103.000,3158.000,296727
2025-11-04,3157.000,3189.000,3132.000,3144.000,248353
2025-11-05,3157.000,3226.000,3156.000,3217.000,457002
2025-11-06,3215.000,3240.000,3200.000,3227.000,329917
2025-11-07,3369.000,3392.000,3338.000,3391.000,140053
2025-11-10,3378.000,3395.000,3362.000,3383.000,130490
2025-11-11,3368.000,3420.000,3366.000,3373.000,163416
2025-11-12,3368.000,3373.000,3305.000,3322.000,209717
2025-11-13,3315.000,3342.000,3252.000,3265.000,224308
2025-11-14,3270.000,3278.000,3226.000,3235.000,183057
2025-11-17,3210.000,3231.000,3190.000,3229.000,201850
