date,open,high,low,close,volume
2025-09-09,4342.000,4345.000,4295.000,4322.000,184547
2025-09-10,4321.000,4334.000,4308.000,4319.000,106908
2025-09-11,4320.000,4324.000,4291.000,4302.000,134693
2025-09-12,4299.000,4299.000,4265.000,4272.000,134697
2025-09-15,4285.000,4293.000,4256.000,4288.000,133025
2025-09-16,4292.000,4320.000,4272.000,4272.000,151106
2025-09-17,4283.000,4308.000,4275.000,4297.000,124940
2025-09-18,4290.000,4301.000,4258.000,4268.000,148734
2025-09-19,4276.000,4276.000,4244.000,4257.000,139999
2025-09-22,4260.000,4269.000,4233.000,4240.000,113147
2025-09-23,4231.000,4235.000,4188.000,4212.000,131327
2025-09-24,4220.000,4251.000,4204.000,4234.000,108404
2025-09-25,4255.000,4259.000,4238.000,4246.000,82408
2025-09-26,4254.000,4254.000,4212.000,4213.000,105146
2025-09-29,4215.000,4245.000,4209.000,4224.000,115895
2025-09-30,4233.000,4233.000,4181.000,4207.000,136773
2025-10-09,4200.000,4200.000,4110.000,4158.000,145463
2025-10-10,4165.000,4182.000,4092.000,4100.000,172120
2025-10-13,4106.000,4132.000,4068.000,4111.000,146257
2025-10-14,4111.000,4111.000,4042.000,4061.000,155748
2025-10-15,4037.000,4073.000,4022.000,4057.000,115778
2025-10-16,4057.000,4097.000,4007.000,4089.000,173964
2025-10-17,4088.000,4089.000,3995.000,4003.000,160136
2025-10-20,4012.000,4060.000,4001.000,4003.000,158594
2025-10-21,4003.000,4034.000,3971.000,4004.000,168559
2025-10-22,4015.000,4068.000,3993.000,4051.000,215522
2025-10-23,4060.000,4119.000,4052.000,4095.000,188925
2025-10-24,4118.000,4118.000,4072.000,4077.000,169443
2025-10-27,4091.000,4138.000,4064.000,4109.000,210433
2025-10-28,4110.000,4115.000,4066.000,4069.000,130492
2025-10-29,4058.000,4105.000,4052.000,4100.000,139397
2025-10-30,4106.000,4109.000,4030.000,4032.000,135055
2025-10-31,4025.000,4041.000,4011.000,4018.000,155869
2025-11-03,4020.000,4047.000,3960.000,3970.000,217997
2025-11-04,3955.000,3964.000,3893.000,3901.000,241215
2025-11-05,3880.000,3928.000,3874.000,3914.000,191177
2025-11-06,3910.000,3929.000,3865.000,3924.000,189733
2025-11-07,3925.000,3975.000,3906.000,3942.000,257894
2025-11-10,3946.000,3958.000,3908.000,3953.000,211782
2025-11-11,3954.000,3955.000,3869.000,3875.000,174576
2025-11-12,3880.000,3916.000,3869.000,3891.000,192653
2025-11-13,3894.000,3910.000,3853.000,3892.000,235069
2025-11-14,3903.000,3946.000,3896.000,3922.000,223785
2025-11-17,3920.000,3961.000,3912.000,3938.000,181817
2025-11-18,3938.000,3954.000,3889.000,3907.000,167838
2025-11-19,3910.000,3920.000,3867.000,3903.000,179353
2025-11-20,3890.000,3891.000,3821.000,3822.000,261730
2025-11-21,3833.000,3839.000,3802.000,3808.000,164315
2025-11-24,3814.000,3908.000,3791.000,3884.000,282100
2025-11-25,3895.000,3926.000,3867.000,3873.000,256262
2025-11-26,3873.000,3903.000,3858.000,3896.000,177363
2025-11-27,3896.000,3911.000,3863.000,3873.000,149780
2025-11-28,3873.000,3900.000,3850.000,3885.000,193887
2025-12-01,3885.000,3922.000,3865.000,3882.000,194219
2025-12-02,3880.000,3907.000,3853.000,3877.000,165307
2025-12-03,3870.000,3871.000,3806.000,3822.000,217688
2025-12-04,3836.000,3838.000,3806.000,3826.000,126020
2025-12-05,3820.000,3826.000,3721.000,3723.000,208232
2025-12-08,3722.000,3732.000,3687.000,3701.000,178188
2025-12-09,3690.000,3693.000,3635.000,3691.000,216019
2025-12-10,3676.000,3704.000,3663.000,3682.000,186790
2025-12-11,3682.000,3691.000,3592.000,3599.000,196493
2025-12-12,3608.000,3645.000,3587.000,3627.000,186457
2025-12-15,3710.000,3779.000,3710.000,3729.000,153064
2025-12-16,3723.000,3792.000,3671.000,3788.000,300593
2025-12-17,3772.000,3797.000,3746.000,3758.000,223433
2025-12-18,3768.000,3814.000,3761.000,3767.000,184199
2025-12-19,3766.000,3778.000,3734.000,3738.000,197357
2025-12-22,3753.000,3762.000,3710.000,3735.000,207007
2025-12-23,3740.000,3768.000,3608.000,3623.000,426410
2025-12-24,3630.000,3825.000,3617.000,3818.000,654018
2025-12-25,3815.000,3855.000,3775.000,3818.000,544942
2025-12-26,3843.000,3852.000,3786.000,3846.000,363008
2025-12-29,3857.000,3857.000,3804.000,3817.000,225076
2025-12-30,3810.000,3877.000,3795.000,3847.000,228856
2025-12-31,3834.000,3867.000,3789.000,3803.000,241540
2026-01-05,3800.000,3824.000,3712.000,3732.000,252433
2026-01-06,3744.000,3848.000,3744.000,3838.000,267232
2026-01-07,3831.000,3899.000,3814.000,3879.000,350475
2026-01-08,3879.000,3909.000,3823.000,3846.000,272372
2026-01-09,3858.000,3880.000,3815.000,3866.000,212893
2026-01-12,3856.000,3904.000,3826.000,3880.000,256692
2026-01-13,3880.000,3880.000,3794.000,3815.000,318388
2026-01-14,3823.000,3892.000,3823.000,3867.000,260470
2026-01-15,3885.000,3894.000,3786.000,3817.000,285338
2026-01-16,3817.000,3837.000,3758.000,3796.000,252978
2026-01-19,3800.000,3814.000,3738.000,3755.000,194782
2026-01-20,3755.000,3759.000,3672.000,3674.000,248082
2026-01-21,3674.000,3707.000,3656.000,3689.000,216923
2026-01-22,3702.000,3848.000,3692.000,3847.000,392085
2026-01-23,3837.000,3997.000,3828.000,3997.000,747080
2026-01-26,4020.000,4044.000,3971.000,3994.000,540849
2026-01-27,4002.000,4002.000,3925.000,3938.000,413221
2026-01-28,3939.000,3991.000,3915.000,3970.000,425309
2026-01-29,3970.000,3985.000,3905.000,3957.000,439892
2026-01-30,3963.000,4023.000,3871.000,3913.000,592157
2026-02-02,3913.000,3946.000,3749.000,3767.000,505422
2026-02-03,3772.000,3809.000,3734.000,3767.000,321405
2026-02-04,3767.000,3808.000,3748.000,3788.000,286954
2026-02-05,3788.000,3799.000,3721.000,3745.000,312882
2026-02-06,3730.000,3780.000,3708.000,3743.000,266645
2026-02-09,3737.000,3765.000,3717.000,3739.000,228898
