date,open,high,low,close,volume
2025-09-12,3672.800,3695.500,3667.300,3680.700,0
2025-09-15,3680.700,3724.900,3662.800,3719.400,0
2025-09-16,3719.400,3739.900,3711.800,3727.500,0
2025-09-17,3727.500,3744.000,3679.500,3694.400,0
2025-09-18,3694.400,3707.300,3660.500,3678.100,0
2025-09-19,3678.100,3719.600,3664.400,3719.400,0
2025-09-22,3719.400,3783.300,3718.100,3781.100,0
2025-09-23,3781.100,3824.600,3772.400,3796.700,0
2025-09-24,3796.700,3812.600,3749.700,3768.400,0
2025-09-25,3768.300,3792.300,3751.900,3780.300,0
2025-09-26,3780.300,3814.400,3764.000,3789.800,0
2025-09-29,3789.800,3863.700,3785.500,3862.700,0
2025-09-30,3862.700,3899.200,3820.600,3887.300,0
2025-10-01,3887.700,3922.700,3880.300,3892.600,0
2025-10-02,3892.600,3923.300,3842.800,3880.800,0
2025-10-03,3880.400,3916.800,3861.100,3912.000,0
2025-10-06,3912.000,3994.500,3909.200,3984.100,0
2025-10-07,3984.100,4014.600,3963.400,4007.600,0
2025-10-08,4007.100,4081.000,4005.600,4060.100,0
2025-10-09,4061.800,4077.900,3957.900,3991.300,0
2025-10-10,3991.300,4038.600,3961.200,4035.400,0
2025-10-13,4035.400,4137.200,4011.300,4129.900,0
2025-10-14,4129.900,4190.900,4105.000,4159.300,0
2025-10-15,4159.300,4235.800,4157.300,4224.700,0
2025-10-16,4224.700,4346.700,4214.500,4344.000,0
2025-10-17,4344.000,4392.000,4196.000,4267.100,0
2025-10-20,4267.100,4398.000,4229.700,4373.900,0
2025-10-21,4371.000,4393.600,4093.000,4138.500,0
2025-10-22,4138.500,4175.000,4021.200,4116.000,0
2025-10-23,4114.800,4171.500,4079.600,4142.800,0
2025-10-24,4142.800,4159.000,4055.700,4125.800,0
2025-10-27,4125.800,4123.800,3985.900,3997.000,0
2025-10-28,3997.000,4034.200,3901.300,3967.600,0
2025-10-29,3967.600,4046.200,3930.000,3941.000,0
2025-10-30,3941.000,4041.500,3925.100,4038.200,0
2025-10-31,4038.200,4059.900,3982.300,4013.300,0
2025-11-03,4013.300,4043.100,3971.300,4013.400,0
2025-11-04,4013.400,4018.000,3937.100,3941.200,0
2025-11-05,3941.200,4000.700,3935.700,3990.000,0
2025-11-06,3992.400,4028.700,3973.200,3984.800,0
2025-11-07,3986.900,4035.800,3981.600,4007.700,0
2025-11-10,4007.700,4124.000,4004.200,4123.000,0
2025-11-11,4123.000,4155.000,4102.800,4133.100,0
2025-11-12,4133.100,4218.500,4104.400,4200.800,0
2025-11-13,4200.800,4250.000,4148.500,4174.500,0
2025-11-14,4174.500,4215.100,4032.600,4082.200,0
2025-11-17,4082.200,4107.600,4006.800,4045.400,0
2025-11-18,4045.400,4083.700,3997.400,4066.900,0
2025-11-19,4066.900,4134.300,4055.600,4078.100,0
2025-11-20,4078.100,4109.600,4034.000,4076.600,0
2025-11-21,4076.600,4137.600,4054.200,4099.000,0
2025-11-24,4099.000,4174.900,4072.600,4169.600,0
2025-11-25,4170.300,4194.000,4143.200,4164.700,0
2025-11-26,4164.700,4209.000,4163.600,4196.000,0
2025-11-27,4198.600,4200.800,4174.600,4189.600,0
2025-11-28,4198.600,4263.100,4174.600,4255.100,0
2025-12-01,4255.100,4299.600,4241.100,4264.500,0
2025-12-02,4264.500,4269.200,4194.000,4238.200,0
2025-12-03,4241.600,4273.300,4225.100,4234.100,0
2025-12-04,4234.500,4251.100,4203.300,4237.900,0
2025-12-05,4239.500,4290.500,4221.400,4227.300,0
2025-12-08,4227.300,4247.900,4204.000,4219.700,0
2025-12-09,4219.700,4251.700,4197.800,4236.200,0
2025-12-10,4237.500,4268.800,4207.800,4258.000,0
2025-12-11,4258.000,4317.300,4231.200,4309.200,0
2025-12-12,4309.200,4387.800,4286.000,4329.600,0
2025-12-15,4329.600,4384.300,4315.900,4334.300,0
2025-12-16,4334.300,4367.900,4297.400,4332.200,0
