date,open,high,low,close,volume
2025-09-10,69040.000,71000.000,68600.000,70720.000,751480
2025-09-11,70960.000,71420.000,70160.000,71000.000,426041
2025-09-12,70540.000,71560.000,70320.000,71160.000,410989
2025-09-15,71260.000,73160.000,70840.000,72680.000,482790
2025-09-16,73900.000,75100.000,72760.000,73180.000,500267
2025-09-17,73160.000,74060.000,72680.000,73640.000,343863
2025-09-18,73120.000,73800.000,71680.000,72880.000,502269
2025-09-19,72500.000,74020.000,72500.000,73960.000,370359
2025-09-22,74580.000,74860.000,73040.000,73420.000,396645
2025-09-23,73040.000,74460.000,72360.000,73660.000,497857
2025-09-24,73700.000,73880.000,72800.000,72880.000,345221
2025-09-25,72980.000,74480.000,72740.000,74040.000,342719
2025-09-26,73800.000,74500.000,72180.000,72880.000,481020
2025-09-29,73100.000,74720.000,72360.000,73920.000,465591
2025-09-30,73980.000,74020.000,72760.000,72800.000,317458
2025-10-09,73200.000,75240.000,72620.000,73340.000,361093
2025-10-10,73200.000,73880.000,72580.000,72740.000,294783
2025-10-13,72800.000,72960.000,71800.000,72280.000,282178
2025-10-14,72600.000,74420.000,72460.000,72680.000,270327
2025-10-15,73140.000,73860.000,72760.000,72940.000,99329
2025-10-16,73200.000,75140.000,73020.000,75080.000,179492
2025-10-17,75200.000,76900.000,74920.000,75780.000,303602
2025-10-20,76600.000,76700.000,75680.000,75940.000,188791
2025-10-21,75920.000,76380.000,75340.000,75980.000,197979
2025-10-22,76000.000,77500.000,75680.000,77120.000,376449
2025-10-23,77140.000,79960.000,77080.000,79940.000,490920
2025-10-24,79500.000,80880.000,78880.000,79520.000,613476
2025-10-27,80000.000,82060.000,79580.000,81900.000,514455
2025-10-28,81600.000,83480.000,81140.000,81640.000,729307
2025-10-29,82240.000,83280.000,81320.000,82900.000,659421
2025-10-30,83120.000,84940.000,82220.000,83400.000,829117
2025-10-31,83780.000,84460.000,80260.000,80780.000,915245
2025-11-03,81260.000,82880.000,81120.000,82280.000,586668
2025-11-04,82700.000,82900.000,77580.000,78560.000,975978
2025-11-05,78440.000,79840.000,78060.000,79140.000,515731
2025-11-06,79480.000,80920.000,78640.000,80500.000,582033
2025-11-07,79440.000,82460.000,79000.000,82300.000,810655
2025-11-10,82600.000,87280.000,82360.000,87240.000,986569
2025-11-11,87700.000,88100.000,85740.000,86540.000,902490
2025-11-12,86760.000,88200.000,85340.000,86580.000,1145329
2025-11-13,86500.000,89900.000,86280.000,87840.000,1106011
2025-11-14,87500.000,88260.000,86580.000,87360.000,757432
2025-11-17,87700.000,95200.000,87700.000,95200.000,1366919
2025-11-18,96200.000,96920.000,92800.000,93520.000,1487724
2025-11-19,93800.000,100080.000,93640.000,99300.000,1767428
2025-11-20,99780.000,102500.000,97720.000,98980.000,1595646
2025-11-21,94020.000,96000.000,91020.000,91020.000,1137824
2025-11-24,91820.000,92880.000,90000.000,90480.000,454612
2025-11-25,91000.000,95600.000,90660.000,95400.000,511279
2025-11-26,97740.000,99880.000,95340.000,96340.000,810231
2025-11-27,96600.000,98620.000,95500.000,95820.000,741463
2025-11-28,94860.000,97600.000,93880.000,96420.000,580962
2025-12-01,96980.000,98480.000,95840.000,96940.000,535475
2025-12-02,96840.000,97300.000,95100.000,96560.000,454290
2025-12-03,96560.000,97580.000,92520.000,93660.000,643323
2025-12-04,93800.000,94600.000,91600.000,93700.000,663458
2025-12-05,93420.000,93980.000,92100.000,92160.000,461507
2025-12-08,92460.000,95500.000,91120.000,94840.000,599367
2025-12-09,94580.000,94800.000,92300.000,92800.000,512215
2025-12-10,93000.000,96800.000,93000.000,95980.000,620935
2025-12-11,95900.000,99520.000,95460.000,98880.000,744190
2025-12-12,99520.000,101620.000,97620.000,97720.000,757689
2025-12-15,98080.000,101200.000,97300.000,101060.000,699601
2025-12-16,101500.000,102280.000,99800.000,100600.000,597317
2025-12-17,101500.000,109860.000,101500.000,108620.000,1158611
2025-12-18,106800.000,109920.000,104700.000,106160.000,1013916
2025-12-19,106100.000,113500.000,105620.000,111400.000,928963
2025-12-22,109000.000,116460.000,109000.000,114380.000,1007441
2025-12-23,113900.000,120440.000,113800.000,120360.000,731003
2025-12-24,122000.000,127880.000,118060.000,124720.000,949006
2025-12-25,118740.000,124500.000,116000.000,123520.000,924823
2025-12-26,124220.000,131000.000,124220.000,130520.000,428716
2025-12-29,129800.000,134500.000,117400.000,118820.000,688764
2025-12-30,117000.000,123980.000,115420.000,121580.000,459530
2025-12-31,123000.000,124380.000,117560.000,121580.000,392450
2026-01-05,125000.000,130260.000,122780.000,129980.000,343623
2026-01-06,132600.000,137940.000,132100.000,137940.000,304237
2026-01-07,144000.000,147000.000,137900.000,142300.000,420407
2026-01-08,140860.000,148500.000,136480.000,145000.000,654824
2026-01-09,142000.000,146920.000,139060.000,143420.000,469479
2026-01-12,156060.000,156060.000,152000.000,156060.000,68491
2026-01-13,168000.000,174060.000,161540.000,166980.000,608177
2026-01-14,169000.000,173440.000,155000.000,161940.000,589019
2026-01-15,163840.000,165000.000,155600.000,163220.000,431256
2026-01-16,163220.000,165820.000,146200.000,146200.000,591523
