date,open,high,low,close,volume
2025-09-09,226.875,227.175,221.000,221.125,0
2025-09-10,221.125,223.500,220.350,222.375,0
2025-09-11,221.900,225.200,220.500,223.625,0
2025-09-12,223.625,225.375,220.400,221.000,0
2025-09-15,221.000,226.075,221.800,225.675,0
2025-09-16,225.200,226.425,224.475,225.375,0
2025-09-17,225.375,225.175,221.825,223.075,0
2025-09-18,223.075,224.450,221.450,224.300,0
2025-09-19,224.150,226.050,223.925,225.325,0
2025-09-22,225.325,230.400,225.925,229.150,0
2025-09-23,229.150,231.225,228.800,230.050,0
2025-09-24,229.975,230.100,227.225,227.800,0
2025-09-25,227.800,227.425,224.000,224.700,0
2025-09-26,224.700,226.825,222.975,226.275,0
2025-09-29,226.275,227.200,225.200,225.625,0
2025-09-30,225.625,227.550,224.300,227.450,0
2025-10-01,227.450,229.925,226.600,228.000,0
2025-10-02,228.000,227.475,225.325,226.500,0
2025-10-03,226.500,227.500,225.250,227.325,0
2025-10-06,227.325,230.275,226.725,229.675,0
2025-10-07,229.675,231.650,229.100,231.200,0
2025-10-08,231.200,233.225,231.050,233.000,0
2025-10-09,233.000,235.200,232.750,234.850,0
2025-10-10,234.850,237.575,232.925,237.325,0
2025-10-13,237.325,238.625,235.950,237.450,0
2025-10-14,237.450,240.175,236.350,239.525,0
2025-10-15,239.275,239.750,237.925,239.350,0
2025-10-16,239.000,240.850,239.000,240.050,0
2025-10-17,240.050,236.750,232.775,232.850,0
2025-10-20,232.850,235.500,231.925,234.125,0
2025-10-21,234.125,235.950,233.225,235.500,0
2025-10-22,235.500,235.800,228.250,229.000,0
2025-10-23,229.000,231.650,228.125,228.525,0
2025-10-24,228.525,228.125,221.325,210.750,0
2025-10-27,210.750,219.875,210.575,211.350,0
2025-10-28,211.350,214.275,208.425,211.950,0
2025-10-29,211.950,219.525,212.525,217.425,0
2025-10-30,217.425,219.100,215.050,217.700,0
2025-10-31,217.700,218.350,212.150,215.475,0
2025-11-03,215.475,218.400,216.025,217.700,0
2025-11-04,217.700,219.025,213.225,213.450,0
2025-11-05,213.450,214.475,206.700,206.250,0
2025-11-06,206.500,209.825,204.125,206.000,0
2025-11-07,206.000,210.725,206.025,209.200,0
2025-11-10,209.200,216.650,206.575,216.650,0
2025-11-11,216.650,217.600,214.650,215.050,0
2025-11-12,215.050,215.550,212.000,213.350,0
2025-11-13,212.550,213.000,206.925,207.725,0
2025-11-14,207.725,210.050,204.250,208.200,0
