date,open,high,low,close,volume
2025-09-11,2404.000,2409.000,2381.000,2387.000,493157
2025-09-12,2380.000,2386.000,2371.000,2379.000,404422
2025-09-15,2385.000,2405.000,2368.000,2396.000,498181
2025-09-16,2398.000,2408.000,2375.000,2375.000,521624
2025-09-17,2380.000,2388.000,2370.000,2376.000,387439
2025-09-18,2376.000,2376.000,2339.000,2346.000,595422
2025-09-19,2350.000,2374.000,2331.000,2361.000,756698
2025-09-22,2364.000,2366.000,2341.000,2348.000,457996
2025-09-23,2339.000,2351.000,2327.000,2343.000,465051
2025-09-24,2346.000,2367.000,2337.000,2351.000,458749
2025-09-25,2356.000,2364.000,2348.000,2356.000,348923
2025-09-26,2355.000,2372.000,2332.000,2355.000,556255
2025-09-29,2360.000,2367.000,2343.000,2359.000,426001
2025-09-30,2357.000,2360.000,2328.000,2328.000,435593
2025-10-09,2321.000,2326.000,2276.000,2290.000,545698
2025-10-10,2290.000,2308.000,2281.000,2307.000,569488
2025-10-13,2310.000,2358.000,2302.000,2342.000,1262936
2025-10-14,2345.000,2345.000,2255.000,2274.000,1237490
2025-10-15,2275.000,2309.000,2266.000,2298.000,736803
2025-10-16,2299.000,2320.000,2268.000,2319.000,768537
2025-10-17,2314.000,2318.000,2264.000,2272.000,653713
2025-10-20,2272.000,2301.000,2260.000,2266.000,827122
2025-10-21,2252.000,2279.000,2233.000,2268.000,770475
2025-10-22,2276.000,2276.000,2255.000,2261.000,579308
2025-10-23,2260.000,2299.000,2251.000,2292.000,704659
2025-10-24,2294.000,2299.000,2266.000,2272.000,603000
2025-10-27,2273.000,2287.000,2261.000,2268.000,583775
2025-10-28,2267.000,2268.000,2237.000,2241.000,685035
2025-10-29,2234.000,2259.000,2225.000,2257.000,585627
2025-10-30,2255.000,2260.000,2207.000,2208.000,787877
2025-10-31,2202.000,2219.000,2172.000,2180.000,826939
2025-11-03,2182.000,2188.000,2132.000,2143.000,1186632
2025-11-04,2139.000,2143.000,2105.000,2115.000,1100316
2025-11-05,2110.000,2150.000,2089.000,2141.000,1405704
2025-11-06,2136.000,2137.000,2096.000,2125.000,1243391
2025-11-07,2122.000,2132.000,2106.000,2112.000,915795
2025-11-10,2112.000,2118.000,2075.000,2101.000,1283246
2025-11-11,2100.000,2109.000,2080.000,2082.000,834857
2025-11-12,2084.000,2117.000,2084.000,2108.000,1032752
2025-11-13,2106.000,2126.000,2095.000,2103.000,1038707
2025-11-14,2103.000,2107.000,2054.000,2055.000,1169485
2025-11-17,2049.000,2059.000,2021.000,2029.000,1178856
2025-11-18,2032.000,2036.000,2003.000,2030.000,1111882
2025-11-19,2030.000,2039.000,1990.000,2013.000,1387439
2025-11-20,2010.000,2038.000,1988.000,2016.000,1553967
2025-11-21,2016.000,2029.000,2001.000,2004.000,1085555
2025-11-24,2007.000,2087.000,2007.000,2077.000,2086329
2025-11-25,2075.000,2088.000,2055.000,2067.000,1275697
2025-11-26,2077.000,2110.000,2067.000,2094.000,1611619
2025-11-27,2094.000,2134.000,2094.000,2114.000,1680753
2025-11-28,2115.000,2138.000,2113.000,2135.000,942920
2025-12-01,2134.000,2142.000,2103.000,2136.000,1027056
2025-12-02,2134.000,2164.000,2124.000,2132.000,1198317
2025-12-03,2130.000,2140.000,2115.000,2128.000,996305
2025-12-04,2128.000,2143.000,2094.000,2113.000,1053018
2025-12-05,2113.000,2121.000,2069.000,2077.000,1004115
2025-12-08,2071.000,2096.000,2058.000,2089.000,828244
2025-12-09,2082.000,2088.000,2056.000,2066.000,787380
2025-12-10,2070.000,2070.000,2038.000,2053.000,824146
2025-12-11,2130.000,2149.000,2118.000,2120.000,536348
2025-12-12,2125.000,2125.000,2072.000,2099.000,751017
2025-12-15,2098.000,2138.000,2084.000,2124.000,657925
2025-12-16,2116.000,2133.000,2100.000,2129.000,692695
2025-12-17,2125.000,2171.000,2121.000,2156.000,904393
2025-12-18,2156.000,2187.000,2152.000,2174.000,811542
2025-12-19,2173.000,2176.000,2144.000,2148.000,768631
2025-12-22,2141.000,2175.000,2131.000,2155.000,959813
2025-12-23,2158.000,2189.000,2124.000,2156.000,1082554
2025-12-24,2157.000,2179.000,2143.000,2172.000,941920
