date,open,high,low,close,volume
2025-09-10,15135.000,15195.000,15055.000,15145.000,5174
2025-09-11,15150.000,15255.000,15055.000,15220.000,6371
2025-09-12,15220.000,15400.000,15155.000,15360.000,7186
2025-09-15,15345.000,15535.000,15320.000,15385.000,9461
2025-09-16,15410.000,15450.000,15365.000,15415.000,5322
2025-09-17,15430.000,15460.000,15200.000,15395.000,6535
2025-09-18,15385.000,15395.000,15210.000,15315.000,5979
2025-09-19,15340.000,15375.000,15235.000,15260.000,4729
2025-09-22,15300.000,15350.000,15200.000,15200.000,4139
2025-09-23,15220.000,15375.000,15160.000,15320.000,5221
2025-09-24,15315.000,15445.000,15270.000,15415.000,6383
2025-09-25,15405.000,15510.000,15225.000,15240.000,9315
2025-09-26,15260.000,15275.000,15150.000,15155.000,5802
2025-09-29,15185.000,15345.000,15175.000,15295.000,6648
2025-09-30,15300.000,15315.000,15190.000,15215.000,4355
2025-10-01,15255.000,15280.000,15155.000,15170.000,4547
2025-10-02,15180.000,15350.000,15160.000,15255.000,5284
2025-10-03,15335.000,15490.000,15300.000,15420.000,5500
2025-10-06,15375.000,15495.000,15315.000,15440.000,4347
2025-10-07,15440.000,15530.000,15425.000,15450.000,6739
2025-10-08,15460.000,15480.000,15310.000,15370.000,5581
2025-10-09,15335.000,15620.000,15285.000,15455.000,14199
2025-10-10,15460.000,15460.000,15145.000,15210.000,10693
2025-10-13,15225.000,15340.000,15155.000,15175.000,7033
2025-10-14,15180.000,15210.000,15100.000,15100.000,9418
2025-10-15,15135.000,15255.000,15110.000,15125.000,6394
2025-10-16,15160.000,15290.000,15130.000,15230.000,5857
2025-10-17,15275.000,15290.000,15080.000,15110.000,6830
2025-10-20,15110.000,15240.000,15100.000,15215.000,4439
2025-10-21,15200.000,15265.000,15145.000,15175.000,4569
2025-10-22,15175.000,15215.000,15105.000,15125.000,4688
2025-10-23,15155.000,15395.000,15140.000,15335.000,7405
2025-10-24,15345.000,15385.000,15245.000,15320.000,6135
2025-10-27,15370.000,15420.000,15210.000,15325.000,6048
2025-10-28,15305.000,15325.000,15150.000,15235.000,6160
2025-10-29,15270.000,15445.000,15240.000,15400.000,6659
2025-10-30,15390.000,15390.000,15170.000,15240.000,6441
2025-10-31,15245.000,15270.000,15175.000,15230.000,5196
2025-11-03,15240.000,15295.000,15100.000,15115.000,6401
2025-11-04,15125.000,15165.000,15050.000,15060.000,9941
2025-11-05,15065.000,15135.000,15010.000,15015.000,9554
2025-11-06,15015.000,15175.000,15015.000,15055.000,7048
