date,open,high,low,close,volume
2025-09-11,7222.000,7240.000,7196.000,7209.000,217976
2025-09-12,7200.000,7200.000,7152.000,7169.000,244355
2025-09-15,7199.000,7237.000,7168.000,7232.000,264026
2025-09-16,7232.000,7287.000,7230.000,7234.000,256043
2025-09-17,7252.000,7265.000,7238.000,7245.000,146481
2025-09-18,7235.000,7254.000,7182.000,7188.000,207880
2025-09-19,7202.000,7205.000,7161.000,7169.000,201711
2025-09-22,7169.000,7183.000,7121.000,7130.000,210963
2025-09-23,7116.000,7128.000,7090.000,7105.000,180643
2025-09-24,7117.000,7165.000,7109.000,7142.000,191081
2025-09-25,7169.000,7183.000,7156.000,7169.000,167193
2025-09-26,7161.000,7195.000,7132.000,7159.000,195523
2025-09-29,7173.000,7198.000,7152.000,7181.000,197037
2025-09-30,7170.000,7174.000,7144.000,7153.000,157081
2025-10-09,7145.000,7145.000,7032.000,7077.000,264961
2025-10-10,7075.000,7088.000,7033.000,7037.000,225133
2025-10-13,7015.000,7034.000,6975.000,6983.000,280022
2025-10-14,6996.000,6999.000,6891.000,6918.000,266284
2025-10-15,6890.000,6936.000,6881.000,6910.000,205449
2025-10-16,6912.000,6941.000,6870.000,6929.000,239611
2025-10-17,6936.000,6936.000,6855.000,6874.000,210425
2025-10-20,6891.000,6936.000,6879.000,6879.000,218340
2025-10-21,6870.000,6915.000,6830.000,6883.000,286298
2025-10-22,6889.000,6956.000,6873.000,6936.000,234079
2025-10-23,6946.000,7013.000,6934.000,6999.000,253296
2025-10-24,7014.000,7017.000,6957.000,6969.000,229753
2025-10-27,6969.000,7029.000,6969.000,7024.000,241446
2025-10-28,7030.000,7035.000,6975.000,6985.000,220120
2025-10-29,6975.000,7014.000,6961.000,7009.000,212938
2025-10-30,7000.000,7026.000,6967.000,6968.000,214616
2025-10-31,6968.000,6988.000,6896.000,6899.000,266932
2025-11-03,6915.000,6939.000,6885.000,6888.000,267570
2025-11-04,6888.000,6912.000,6852.000,6879.000,230176
2025-11-05,6871.000,6875.000,6798.000,6814.000,290462
2025-11-06,6810.000,6819.000,6745.000,6805.000,305198
2025-11-07,6805.000,6835.000,6791.000,6802.000,228488
2025-11-10,6793.000,6811.000,6766.000,6802.000,242633
2025-11-11,6810.000,6815.000,6758.000,6760.000,191450
2025-11-12,6765.000,6803.000,6765.000,6788.000,186004
2025-11-13,6780.000,6820.000,6756.000,6818.000,278372
2025-11-14,6825.000,6896.000,6824.000,6853.000,347525
2025-11-17,6854.000,6869.000,6833.000,6843.000,206820
2025-11-18,6851.000,6868.000,6771.000,6785.000,260592
2025-11-19,6785.000,6838.000,6781.000,6833.000,281440
2025-11-20,6820.000,6855.000,6779.000,6835.000,312525
2025-11-21,6830.000,6841.000,6768.000,6770.000,244504
2025-11-24,6775.000,6826.000,6731.000,6793.000,334461
2025-11-25,6790.000,6822.000,6758.000,6762.000,247713
2025-11-26,6757.000,6780.000,6696.000,6707.000,396126
2025-11-27,6707.000,6742.000,6694.000,6699.000,270004
2025-11-28,6705.000,6793.000,6702.000,6789.000,330099
2025-12-01,6789.000,6830.000,6777.000,6803.000,305073
2025-12-02,6810.000,6836.000,6801.000,6831.000,248435
2025-12-03,6825.000,6838.000,6794.000,6808.000,186405
2025-12-04,6800.000,6818.000,6753.000,6776.000,210139
2025-12-05,6770.000,6774.000,6673.000,6674.000,282287
2025-12-08,6689.000,6689.000,6619.000,6643.000,234875
2025-12-09,6630.000,6640.000,6550.000,6557.000,228488
2025-12-10,6610.000,6629.000,6559.000,6599.000,280955
2025-12-11,6600.000,6645.000,6554.000,6558.000,295211
2025-12-12,6552.000,6569.000,6475.000,6486.000,367973
2025-12-15,6486.000,6619.000,6481.000,6557.000,458385
2025-12-16,6557.000,6574.000,6526.000,6543.000,300917
2025-12-17,6525.000,6543.000,6470.000,6479.000,378254
2025-12-18,6488.000,6545.000,6475.000,6476.000,420481
2025-12-19,6469.000,6470.000,6314.000,6320.000,721995
2025-12-22,6327.000,6350.000,6234.000,6240.000,668895
2025-12-23,6256.000,6344.000,6221.000,6296.000,666834
2025-12-24,6310.000,6418.000,6284.000,6408.000,668755
2025-12-25,6415.000,6446.000,6356.000,6390.000,490725
2025-12-26,6390.000,6476.000,6323.000,6465.000,605677
2025-12-29,6465.000,6501.000,6434.000,6453.000,480437
2025-12-30,6460.000,6486.000,6436.000,6461.000,366515
2025-12-31,6452.000,6498.000,6451.000,6472.000,324808
2026-01-05,6500.000,6553.000,6433.000,6449.000,397441
2026-01-06,6481.000,6589.000,6471.000,6579.000,457863
2026-01-07,6595.000,6666.000,6581.000,6642.000,566498
2026-01-08,6647.000,6720.000,6605.000,6628.000,568961
2026-01-09,6645.000,6685.000,6602.000,6674.000,425058
2026-01-12,6662.000,6738.000,6607.000,6737.000,500823
2026-01-13,6722.000,6787.000,6673.000,6766.000,554956
2026-01-14,6789.000,6866.000,6786.000,6820.000,564696
