date,open,high,low,close,volume
2025-09-12,6931.000,6932.000,6890.000,6913.000,255093
2025-09-15,6933.000,6976.000,6914.000,6966.000,297850
2025-09-16,6970.000,7017.000,6967.000,6970.000,324381
2025-09-17,6977.000,6996.000,6970.000,6982.000,183494
2025-09-18,6983.000,6990.000,6920.000,6926.000,234762
2025-09-19,6930.000,6937.000,6904.000,6914.000,230403
2025-09-22,6917.000,6927.000,6862.000,6873.000,221626
2025-09-23,6866.000,6870.000,6830.000,6842.000,188643
2025-09-24,6860.000,6897.000,6847.000,6877.000,178124
2025-09-25,6890.000,6904.000,6880.000,6898.000,166035
2025-09-26,6890.000,6930.000,6868.000,6893.000,229349
2025-09-29,6899.000,6918.000,6882.000,6903.000,206788
2025-09-30,6898.000,6898.000,6850.000,6852.000,197096
2025-10-09,6800.000,6805.000,6706.000,6745.000,338214
2025-10-10,6745.000,6772.000,6709.000,6722.000,251636
2025-10-13,6709.000,6740.000,6668.000,6693.000,369442
2025-10-14,6679.000,6680.000,6582.000,6602.000,365570
2025-10-15,6575.000,6621.000,6561.000,6595.000,270926
2025-10-16,6597.000,6631.000,6555.000,6618.000,264044
2025-10-17,6620.000,6633.000,6541.000,6551.000,219232
2025-10-20,6566.000,6623.000,6565.000,6565.000,257663
2025-10-21,6560.000,6619.000,6530.000,6583.000,318981
2025-10-22,6610.000,6642.000,6575.000,6619.000,253179
2025-10-23,6633.000,6710.000,6616.000,6691.000,320558
2025-10-24,6710.000,6710.000,6657.000,6662.000,229145
2025-10-27,6689.000,6707.000,6654.000,6699.000,262100
2025-10-28,6682.000,6702.000,6645.000,6657.000,228673
2025-10-29,6654.000,6690.000,6635.000,6685.000,201901
2025-10-30,6693.000,6699.000,6643.000,6651.000,237497
2025-10-31,6651.000,6669.000,6582.000,6590.000,294656
2025-11-03,6600.000,6629.000,6573.000,6576.000,297804
2025-11-04,6560.000,6589.000,6544.000,6560.000,257622
2025-11-05,6550.000,6552.000,6477.000,6491.000,345070
2025-11-06,6490.000,6490.000,6415.000,6471.000,387014
