date,open,high,low,close,volume
2025-09-11,4852.000,4896.000,4838.000,4888.000,729601
2025-09-12,4886.000,4886.000,4856.000,4876.000,643920
2025-09-15,4883.000,4933.000,4863.000,4921.000,990616
2025-09-16,4934.000,4994.000,4929.000,4960.000,1056426
2025-09-17,4966.000,4985.000,4952.000,4973.000,726307
2025-09-18,4975.000,4993.000,4902.000,4923.000,836805
2025-09-19,4927.000,4973.000,4924.000,4950.000,788371
2025-09-22,4955.000,4989.000,4918.000,4938.000,824910
2025-09-23,4927.000,4935.000,4868.000,4891.000,848608
2025-09-24,4899.000,4956.000,4869.000,4919.000,902670
2025-09-25,4920.000,4946.000,4906.000,4935.000,630324
2025-09-26,4930.000,4931.000,4884.000,4897.000,734256
2025-09-29,4894.000,4918.000,4874.000,4896.000,654589
2025-09-30,4888.000,4892.000,4838.000,4839.000,591738
2025-10-09,4825.000,4825.000,4719.000,4769.000,708041
2025-10-10,4770.000,4796.000,4725.000,4735.000,688615
2025-10-13,4730.000,4736.000,4694.000,4721.000,641958
2025-10-14,4717.000,4721.000,4665.000,4692.000,736644
2025-10-15,4680.000,4701.000,4662.000,4677.000,632849
2025-10-16,4673.000,4697.000,4644.000,4694.000,685965
2025-10-17,4698.000,4729.000,4675.000,4688.000,759026
2025-10-20,4696.000,4746.000,4696.000,4702.000,715268
2025-10-21,4705.000,4725.000,4670.000,4699.000,550375
2025-10-22,4695.000,4734.000,4685.000,4719.000,535541
2025-10-23,4718.000,4743.000,4706.000,4730.000,612627
2025-10-24,4738.000,4749.000,4702.000,4708.000,653650
2025-10-27,4708.000,4757.000,4694.000,4746.000,832377
2025-10-28,4730.000,4748.000,4707.000,4716.000,655220
2025-10-29,4710.000,4784.000,4709.000,4775.000,840023
2025-10-30,4775.000,4817.000,4754.000,4766.000,1045974
2025-10-31,4762.000,4768.000,4687.000,4701.000,912449
2025-11-03,4696.000,4702.000,4658.000,4680.000,766411
2025-11-04,4680.000,4695.000,4655.000,4670.000,649206
2025-11-05,4658.000,4662.000,4622.000,4638.000,768285
2025-11-06,4638.000,4646.000,4600.000,4630.000,736089
2025-11-07,4631.000,4638.000,4610.000,4611.000,613757
2025-11-10,4613.000,4625.000,4582.000,4614.000,711386
2025-11-11,4609.000,4613.000,4570.000,4572.000,602769
2025-11-12,4576.000,4598.000,4572.000,4581.000,499375
2025-11-13,4572.000,4590.000,4560.000,4586.000,660598
2025-11-14,4591.000,4635.000,4580.000,4608.000,975920
2025-11-17,4605.000,4613.000,4567.000,4601.000,800764
2025-11-18,4600.000,4606.000,4515.000,4520.000,904897
2025-11-19,4529.000,4535.000,4479.000,4492.000,873095
2025-11-20,4490.000,4490.000,4416.000,4456.000,994354
2025-11-21,4476.000,4509.000,4449.000,4456.000,894335
2025-11-24,4466.000,4524.000,4445.000,4496.000,777071
2025-11-25,4496.000,4525.000,4490.000,4491.000,600685
2025-11-26,4483.000,4501.000,4466.000,4489.000,583601
2025-11-27,4484.000,4520.000,4473.000,4517.000,552049
2025-11-28,4526.000,4562.000,4525.000,4549.000,723160
2025-12-01,4550.000,4591.000,4527.000,4553.000,916061
2025-12-02,4566.000,4576.000,4544.000,4575.000,548981
2025-12-03,4568.000,4575.000,4518.000,4541.000,589135
2025-12-04,4530.000,4540.000,4483.000,4500.000,594879
2025-12-05,4502.000,4503.000,4413.000,4426.000,695710
2025-12-08,4417.000,4442.000,4390.000,4431.000,651789
2025-12-09,4419.000,4425.000,4356.000,4367.000,645110
2025-12-10,4383.000,4383.000,4311.000,4328.000,641464
2025-12-11,4328.000,4340.000,4273.000,4276.000,694342
2025-12-12,4273.000,4295.000,4204.000,4220.000,772024
2025-12-15,4220.000,4343.000,4216.000,4315.000,845326
2025-12-16,4580.000,4675.000,4571.000,4669.000,879746
2025-12-17,4660.000,4694.000,4639.000,4680.000,781663
2025-12-18,4681.000,4727.000,4670.000,4708.000,888747
2025-12-19,4708.000,4715.000,4635.000,4652.000,956664
2025-12-22,4635.000,4646.000,4565.000,4591.000,1145480
2025-12-23,4595.000,4760.000,4595.000,4738.000,1874446
2025-12-24,4735.000,4785.000,4704.000,4781.000,1135087
2025-12-25,4781.000,4785.000,4688.000,4757.000,1134174
2025-12-26,4760.000,4834.000,4706.000,4832.000,1328933
2025-12-29,4816.000,4853.000,4764.000,4777.000,1300166
2025-12-30,4777.000,4834.000,4748.000,4810.000,869225
2025-12-31,4801.000,4822.000,4772.000,4805.000,742345
2026-01-05,4784.000,4798.000,4727.000,4764.000,770165
2026-01-06,4788.000,4935.000,4785.000,4919.000,1740594
2026-01-07,4919.000,5006.000,4913.000,4972.000,1552944
2026-01-08,4972.000,4992.000,4871.000,4905.000,1379448
2026-01-09,4887.000,4915.000,4825.000,4897.000,1236696
2026-01-12,4760.000,4943.000,4576.000,4940.000,2341738
2026-01-13,4940.000,4949.000,4838.000,4888.000,1615530
2026-01-14,4890.000,4935.000,4854.000,4878.000,1193959
2026-01-15,4884.000,4925.000,4835.000,4868.000,1385491
2026-01-16,4856.000,4886.000,4782.000,4803.000,1454831
2026-01-19,4806.000,4820.000,4765.000,4801.000,950660
2026-01-20,4788.000,4841.000,4770.000,4807.000,1361732
2026-01-21,4793.000,4807.000,4708.000,4743.000,1324283
2026-01-22,4748.000,4850.000,4730.000,4849.000,1223420
2026-01-23,4844.000,4926.000,4833.000,4921.000,1257303
2026-01-26,4921.000,4984.000,4896.000,4959.000,1323485
2026-01-27,4950.000,4966.000,4894.000,4911.000,1160706
2026-01-28,4911.000,4939.000,4882.000,4913.000,1121915
2026-01-29,4915.000,4928.000,4860.000,4895.000,1202946
2026-01-30,4920.000,5125.000,4895.000,5063.000,2835385
2026-02-02,5040.000,5151.000,4956.000,5014.000,3007486
2026-02-03,5040.000,5106.000,5006.000,5071.000,2206147
