date,open,high,low,close,volume
2025-09-09,41.935,42.070,41.205,41.350,0
2025-09-10,41.350,41.785,41.145,41.645,0
2025-09-11,41.635,42.330,41.330,42.055,0
2025-09-12,42.055,43.040,41.895,42.680,0
2025-09-15,42.680,43.235,42.470,43.190,0
2025-09-16,43.190,43.435,42.615,42.875,0
2025-09-17,42.875,42.940,41.480,41.995,0
2025-09-18,41.995,42.250,41.495,42.100,0
2025-09-19,42.100,43.405,41.930,43.350,0
2025-09-22,43.350,44.395,43.370,44.310,0
2025-09-23,44.300,44.770,43.970,44.260,0
2025-09-24,44.265,44.625,43.885,44.110,0
2025-09-25,44.110,45.500,44.060,45.470,0
2025-09-26,45.470,46.945,44.890,46.365,0
2025-09-29,46.365,47.410,46.270,47.105,0
2025-09-30,47.105,47.390,45.960,46.835,0
2025-10-01,46.835,47.975,46.815,47.415,0
2025-10-02,47.415,48.010,45.710,46.870,0
2025-10-03,46.870,48.325,46.550,47.965,0
2025-10-06,47.965,48.610,47.860,48.400,0
2025-10-07,48.400,48.550,47.015,47.650,0
2025-10-08,47.650,49.195,47.530,48.435,0
2025-10-09,48.435,49.965,46.890,47.645,0
2025-10-10,47.645,48.620,46.700,47.510,0
2025-10-13,47.510,50.890,47.425,50.765,0
2025-10-14,50.765,52.495,48.750,50.340,0
2025-10-15,50.340,52.635,50.310,52.515,0
2025-10-16,52.515,53.615,51.195,53.430,0
2025-10-17,53.430,53.765,49.660,50.625,0
2025-10-20,50.625,51.830,50.080,51.395,0
2025-10-21,51.395,51.615,47.120,48.145,0
2025-10-22,48.145,48.650,46.820,48.180,0
2025-10-23,48.145,49.225,47.640,48.640,0
2025-10-24,48.640,48.765,47.385,48.405,0
2025-10-27,48.405,48.595,46.055,46.820,0
2025-10-28,46.820,47.375,45.510,47.130,0
2025-10-29,47.135,48.510,46.920,47.265,0
2025-10-30,47.265,48.835,47.095,48.730,0
2025-10-31,48.730,48.995,47.975,48.250,0
2025-11-03,48.250,48.835,47.760,47.900,0
2025-11-04,47.885,47.965,46.650,46.885,0
2025-11-05,46.900,48.115,46.520,47.855,0
2025-11-06,47.855,48.615,47.410,47.835,0
2025-11-07,47.835,48.730,47.780,48.225,0
2025-11-10,48.225,50.480,48.235,50.400,0
2025-11-11,50.400,51.130,50.150,51.070,0
2025-11-12,51.075,53.625,50.760,53.230,0
2025-11-13,53.230,54.415,51.985,52.215,0
2025-11-14,52.200,53.375,49.860,50.390,0
2025-11-17,50.390,51.110,49.345,50.050,0
2025-11-18,50.050,51.670,49.745,51.170,0
2025-11-19,51.170,52.880,50.800,51.705,0
2025-11-20,51.705,52.225,50.580,50.995,0
2025-11-21,50.995,51.205,48.710,50.305,0
2025-11-24,50.305,51.870,50.040,51.815,0
2025-11-25,51.825,52.180,50.960,51.745,0
2025-11-26,51.745,53.790,51.545,53.750,0
2025-11-27,53.750,54.445,53.220,53.825,0
2025-11-28,53.755,57.245,53.220,57.085,0
2025-12-01,57.085,59.435,56.850,58.445,0
2025-12-02,58.445,59.320,57.225,59.140,0
2025-12-03,59.140,59.655,58.210,58.930,0
2025-12-04,58.930,59.235,56.850,57.520,0
2025-12-05,57.520,59.900,57.320,58.795,0
2025-12-08,58.795,59.070,57.770,58.495,0
2025-12-09,58.495,61.295,57.990,61.155,0
2025-12-10,61.155,62.390,60.550,62.200,0
2025-12-11,62.200,64.720,61.780,63.970,0
2025-12-12,63.970,65.085,61.015,62.080,0
2025-12-15,62.080,64.260,61.605,64.125,0
2025-12-16,64.125,64.205,62.115,63.790,0
2025-12-17,63.795,67.180,63.725,66.435,0
2025-12-18,66.435,66.825,64.675,65.440,0
2025-12-19,65.440,67.680,64.465,67.390,0
2025-12-22,67.390,69.525,67.470,69.085,0
2025-12-23,69.080,71.795,68.725,71.605,0
2025-12-24,71.605,72.750,70.160,71.875,0
2025-12-26,71.875,79.700,72.720,79.660,0
2025-12-29,79.660,82.670,70.215,71.605,0
2025-12-30,71.605,78.065,70.670,76.030,0
2025-12-31,76.030,76.275,69.255,70.955,0
2026-01-02,70.955,74.210,70.515,72.245,0
2026-01-05,72.245,77.835,72.505,76.495,0
2026-01-06,76.530,81.485,75.700,81.220,0
2026-01-07,81.220,82.585,76.080,77.970,0
2026-01-08,77.970,78.900,73.530,76.675,0
2026-01-09,76.675,80.465,75.150,79.765,0
2026-01-12,79.765,86.340,79.900,85.165,0
2026-01-13,85.165,89.215,83.355,86.830,0
2026-01-14,86.830,93.560,86.750,93.080,0
2026-01-15,93.080,93.700,86.125,92.205,0
2026-01-16,92.205,92.645,86.570,89.935,0
2026-01-19,89.935,94.705,90.500,94.275,0
2026-01-20,90.605,95.780,90.500,94.445,0
2026-01-21,94.445,95.530,90.150,92.925,0
2026-01-22,92.925,96.735,90.680,96.190,0
2026-01-23,96.190,103.530,96.220,103.275,0
2026-01-26,103.275,117.700,101.700,103.885,0
2026-01-27,103.885,113.550,102.900,112.205,0
2026-01-28,112.205,117.600,110.400,116.550,0
2026-01-29,116.550,121.785,106.610,115.740,0
2026-01-30,115.740,118.450,74.000,85.075,0
2026-02-02,85.075,88.000,71.200,79.000,0
2026-02-03,79.000,89.100,79.010,84.915,0
2026-02-04,84.915,92.015,83.000,87.730,0
2026-02-05,87.730,89.830,70.175,70.320,0
2026-02-06,70.320,77.920,63.900,77.475,0
2026-02-09,77.475,83.760,78.100,83.050,0
2026-02-10,83.050,83.745,79.615,80.480,0
2026-02-11,80.480,86.120,80.415,84.085,0
2026-02-12,84.085,84.875,74.370,75.010,0
2026-02-13,75.010,79.265,73.745,77.270,0
2026-02-16,77.270,78.420,74.570,76.455,0
2026-02-17,77.550,78.420,71.815,73.505,0
2026-02-18,73.580,78.320,72.250,77.105,0
2026-02-19,77.105,79.405,76.300,78.435,0
2026-02-20,79.075,85.280,77.925,85.150,0
2026-02-23,85.360,89.500,85.220,88.595,0
2026-02-24,88.810,89.385,85.175,87.720,0
2026-02-25,87.840,91.985,87.125,89.835,0
2026-02-26,89.835,90.990,85.545,88.810,0
2026-02-27,88.810,94.760,88.305,94.350,0
2026-03-02,94.350,97.300,86.725,89.575,0
2026-03-03,89.690,91.605,78.060,82.300,0
2026-03-04,82.400,87.070,81.740,83.720,0
2026-03-05,83.895,85.750,80.565,82.470,0
2026-03-06,82.470,85.335,81.785,84.665,0
2026-03-09,84.665,87.405,79.640,87.330,0
2026-03-10,87.330,90.385,86.805,88.525,0
2026-03-11,88.525,89.705,84.555,85.905,0
2026-03-12,85.905,87.695,83.120,83.950,0
2026-03-13,83.950,85.620,79.520,80.605,0
2026-03-16,80.295,81.820,77.125,81.000,0
2026-03-17,81.000,82.760,78.375,79.435,0
2026-03-18,79.390,80.320,75.015,75.425,0
2026-03-19,75.365,76.755,65.550,72.825,0
2026-03-20,72.825,74.620,67.740,67.825,0
2026-03-23,67.825,71.030,61.210,69.290,0
2026-03-24,69.290,71.495,66.115,71.430,0
2026-03-25,71.430,74.800,71.070,71.430,0
2026-03-26,71.505,72.385,66.705,68.065,0
2026-03-27,68.365,71.775,67.440,69.770,0
2026-03-30,69.770,72.025,67.700,70.165,0
2026-03-31,70.245,75.625,69.100,75.330,0
2026-04-01,75.330,76.265,74.000,75.180,0
2026-04-02,75.180,75.985,69.610,73.145,0
2026-04-06,73.145,73.735,71.335,72.810,0
2026-04-07,72.810,73.610,69.780,73.105,0
2026-04-08,73.105,77.800,73.345,74.205,0
2026-04-09,74.205,76.840,72.925,75.455,0
2026-04-10,75.500,77.005,74.880,76.000,0
2026-04-13,76.000,76.000,72.545,75.735,0
2026-04-14,75.735,79.800,75.605,79.630,0
2026-04-15,79.705,81.155,78.305,79.085,0
2026-04-16,79.085,81.600,78.760,78.980,0
2026-04-17,78.980,83.835,78.380,81.580,0
2026-04-20,81.580,81.345,79.315,80.465,0
