date,open,high,low,close,volume
2025-09-11,1281.000,1297.000,1275.000,1287.000,1102426
2025-09-12,1285.000,1295.000,1271.000,1290.000,1270526
2025-09-15,1294.000,1314.000,1283.000,1308.000,1417714
2025-09-16,1320.000,1352.000,1318.000,1339.000,1973334
2025-09-17,1344.000,1346.000,1324.000,1334.000,1086896
2025-09-18,1334.000,1342.000,1297.000,1306.000,1496213
2025-09-19,1305.000,1321.000,1301.000,1318.000,922285
2025-09-22,1320.000,1326.000,1287.000,1293.000,1348228
2025-09-23,1287.000,1290.000,1266.000,1273.000,1252408
2025-09-24,1278.000,1336.000,1271.000,1307.000,2066042
2025-09-25,1311.000,1320.000,1300.000,1315.000,1176415
2025-09-26,1313.000,1316.000,1288.000,1293.000,1127426
2025-09-29,1291.000,1295.000,1273.000,1278.000,956241
2025-09-30,1276.000,1285.000,1253.000,1255.000,783278
2025-10-09,1256.000,1268.000,1237.000,1250.000,756397
2025-10-10,1255.000,1275.000,1233.000,1240.000,1212011
2025-10-13,1238.000,1254.000,1224.000,1247.000,1110319
2025-10-14,1247.000,1249.000,1218.000,1234.000,1219106
2025-10-15,1233.000,1238.000,1222.000,1232.000,794201
2025-10-16,1235.000,1240.000,1213.000,1235.000,1149355
2025-10-17,1240.000,1240.000,1196.000,1209.000,1045011
2025-10-20,1214.000,1239.000,1212.000,1219.000,1199778
2025-10-21,1217.000,1220.000,1194.000,1210.000,992204
2025-10-22,1211.000,1230.000,1205.000,1223.000,773292
2025-10-23,1225.000,1242.000,1214.000,1235.000,978864
2025-10-24,1235.000,1238.000,1220.000,1229.000,845930
2025-10-27,1227.000,1253.000,1224.000,1246.000,1292776
2025-10-28,1248.000,1258.000,1235.000,1239.000,926219
2025-10-29,1236.000,1260.000,1231.000,1259.000,1203640
2025-10-30,1257.000,1258.000,1221.000,1235.000,1235717
2025-10-31,1235.000,1242.000,1222.000,1225.000,824645
2025-11-03,1222.000,1229.000,1190.000,1202.000,1599801
2025-11-04,1199.000,1202.000,1186.000,1189.000,849051
2025-11-05,1190.000,1203.000,1188.000,1195.000,837701
2025-11-06,1194.000,1209.000,1193.000,1207.000,730770
