date,open,high,low,close,volume
2025-09-10,1030.500,1032.000,1024.000,1024.500,0
2025-09-11,1024.500,1035.750,1022.750,1033.750,0
2025-09-12,1033.750,1049.000,1028.000,1045.250,0
2025-09-15,1045.250,1051.250,1039.750,1043.000,0
2025-09-16,1043.000,1052.500,1041.750,1048.750,0
2025-09-17,1048.750,1052.750,1042.000,1043.750,0
2025-09-18,1043.750,1044.500,1035.250,1038.750,0
2025-09-19,1038.750,1047.750,1024.000,1026.000,0
2025-09-22,1026.000,1025.000,1006.250,1011.000,0
2025-09-23,1011.000,1015.500,1005.000,1012.250,0
2025-09-24,1012.250,1020.250,1005.750,1008.250,0
2025-09-25,1008.250,1017.000,1006.500,1011.750,0
2025-09-26,1011.750,1015.750,1008.750,1014.000,0
2025-09-29,1014.000,1013.750,1006.000,1009.250,0
2025-09-30,1009.250,1009.250,1000.500,1000.500,0
2025-10-01,1000.500,1020.000,993.750,1014.750,0
2025-10-02,1014.750,1025.500,1008.250,1022.000,0
2025-10-03,1022.000,1028.750,1016.500,1017.000,0
2025-10-06,1017.000,1023.250,1014.000,1017.500,0
2025-10-07,1017.500,1025.500,1016.000,1021.250,0
2025-10-08,1021.250,1030.000,1020.000,1029.500,0
2025-10-09,1029.500,1030.000,1020.750,1021.500,0
2025-10-10,1021.500,1024.750,1002.500,1007.000,0
2025-10-13,1007.000,1013.000,1003.000,1008.000,0
2025-10-14,1008.000,1009.750,1001.000,1006.250,0
2025-10-15,1006.250,1011.750,1002.000,1006.750,0
2025-10-16,1006.750,1019.750,1006.000,1011.500,0
2025-10-17,1011.500,1038.500,1028.000,1037.750,0
2025-10-20,1037.750,1051.500,1037.000,1050.500,0
2025-10-21,1050.500,1056.500,1046.000,1048.000,0
2025-10-22,1048.000,1054.250,1044.500,1049.750,0
2025-10-23,1049.750,1062.250,1049.750,1061.250,0
2025-10-24,1061.250,1063.000,1058.750,1060.250,0
2025-10-27,1060.250,1090.000,1070.250,1083.250,0
2025-10-28,1083.250,1108.000,1083.000,1093.250,0
2025-10-29,1093.250,1098.000,1085.250,1093.250,0
2025-10-30,1093.250,1114.500,1070.500,1106.500,0
2025-10-31,1106.500,1115.750,1101.000,1115.000,0
2025-11-03,1115.000,1135.750,1114.000,1134.250,0
2025-11-04,1134.250,1135.000,1112.500,1120.250,0
2025-11-05,1120.250,1137.000,1116.250,1134.500,0
2025-11-06,1134.500,1133.250,1103.500,1108.000,0
2025-11-07,1108.000,1118.250,1108.000,1117.000,0
2025-11-10,1117.000,1132.000,1118.500,1127.250,0
2025-11-11,1127.250,1130.250,1119.250,1126.500,0
2025-11-12,1126.500,1134.500,1122.000,1134.000,0
2025-11-13,1134.000,1150.500,1129.750,1146.000,0
2025-11-14,1146.000,1152.250,1122.500,1122.500,0
2025-11-17,1122.500,1160.250,1114.250,1157.500,0
2025-11-18,1157.500,1169.500,1147.750,1150.500,0
2025-11-19,1150.500,1152.500,1135.000,1135.000,0
2025-11-20,1135.000,1142.750,1121.500,1123.250,0
2025-11-21,1123.250,1127.500,1113.250,1126.250,0
2025-11-24,1126.250,1131.000,1116.250,1121.000,0
2025-11-25,1121.000,1128.750,1117.250,1123.750,0
2025-11-26,1123.750,1135.250,1122.750,1132.250,0
2025-11-28,1132.000,1138.750,1129.750,1137.250,0
2025-12-01,1137.250,1142.250,1127.000,1127.250,0
2025-12-02,1127.250,1135.750,1123.250,1123.750,0
2025-12-03,1123.750,1130.750,1115.500,1116.000,0
2025-12-04,1116.000,1124.500,1114.000,1119.500,0
2025-12-05,1119.500,1121.000,1104.500,1105.250,0
2025-12-08,1105.250,1107.500,1092.250,1093.500,0
2025-12-09,1093.500,1094.750,1084.500,1087.500,0
2025-12-10,1087.500,1102.750,1093.500,1101.250,0
2025-12-11,1101.250,1105.250,1095.000,1103.000,0
2025-12-12,1103.000,1104.250,1086.000,1086.000,0
2025-12-15,1086.000,1088.250,1076.750,1082.250,0
2025-12-16,1082.250,1086.000,1069.250,1072.250,0
2025-12-17,1072.250,1076.750,1064.250,1069.000,0
2025-12-18,1069.000,1071.750,1060.750,1061.000,0
2025-12-19,1061.000,1064.500,1057.250,1059.250,0
2025-12-22,1059.250,1066.750,1059.000,1063.750,0
2025-12-23,1063.750,1069.750,1062.500,1062.500,0
2025-12-24,1062.500,1077.750,1063.000,1075.750,0
2025-12-26,1080.500,1082.500,1070.750,1071.250,0
2025-12-29,1071.250,1077.500,1063.000,1063.500,0
2025-12-30,1063.500,1067.750,1060.750,1060.750,0
2025-12-31,1060.750,1064.000,1047.000,1047.250,0
2026-01-02,1047.250,1047.000,1038.000,1046.000,0
2026-01-05,1046.000,1063.250,1045.500,1062.000,0
2026-01-06,1062.000,1068.750,1055.500,1056.500,0
2026-01-07,1056.500,1070.500,1056.500,1066.000,0
2026-01-08,1066.000,1067.750,1060.750,1061.250,0
2026-01-09,1061.250,1069.000,1061.500,1062.750,0
2026-01-12,1062.750,1071.250,1043.250,1050.500,0
2026-01-13,1050.500,1052.250,1037.750,1038.750,0
2026-01-14,1038.750,1049.250,1039.000,1042.250,0
2026-01-15,1042.250,1058.250,1041.500,1052.250,0
2026-01-16,1052.250,1059.000,1047.750,1056.250,0
2026-01-20,1056.250,1061.750,1052.000,1052.750,0
2026-01-21,1052.750,1069.250,1053.000,1064.750,0
2026-01-22,1064.750,1072.500,1060.500,1063.750,0
2026-01-23,1063.750,1071.500,1061.250,1067.500,0
2026-01-26,1067.500,1076.250,1059.750,1060.000,0
2026-01-27,1060.000,1069.500,1058.500,1067.250,0
2026-01-28,1067.250,1084.750,1067.000,1074.750,0
2026-01-29,1074.750,1085.500,1069.000,1072.000,0
2026-01-30,1072.000,1074.000,1061.000,1064.250,0
2026-02-02,1064.250,1064.000,1051.750,1059.750,0
2026-02-03,1059.750,1071.000,1060.000,1066.750,0
2026-02-04,1066.750,1115.250,1059.500,1092.000,0
2026-02-05,1092.000,1113.250,1086.750,1110.500,0
2026-02-06,1110.500,1137.750,1102.000,1114.750,0
2026-02-09,1114.750,1116.250,1106.000,1109.750,0
2026-02-10,1109.750,1124.000,1106.250,1123.250,0
2026-02-11,1123.250,1143.250,1128.250,1139.000,0
2026-02-12,1139.000,1156.250,1143.250,1151.250,0
2026-02-13,1151.250,1155.250,1137.750,1149.500,0
2026-02-17,1149.500,1153.750,1141.000,1149.500,0
2026-02-18,1149.500,1159.000,1143.250,1147.500,0
2026-02-19,1148.000,1157.000,1144.750,1156.250,0
2026-02-20,1156.250,1163.000,1136.500,1153.500,0
2026-02-23,1153.500,1165.000,1143.000,1150.250,0
2026-02-24,1150.250,1157.750,1143.500,1154.250,0
2026-02-25,1154.250,1166.000,1148.250,1164.750,0
2026-02-26,1164.500,1172.750,1145.750,1162.750,0
2026-02-27,1162.750,1175.000,1160.500,1169.750,0
2026-03-02,1169.750,1185.000,1157.500,1161.750,0
2026-03-03,1162.500,1183.000,1160.500,1171.250,0
2026-03-04,1171.000,1175.750,1165.000,1166.250,0
2026-03-05,1168.250,1181.000,1166.500,1179.000,0
2026-03-06,1179.000,1202.750,1177.000,1201.500,0
2026-03-09,1201.500,1233.750,1193.000,1196.000,0
2026-03-10,1196.000,1207.500,1177.750,1203.250,0
2026-03-11,1203.250,1227.750,1203.500,1214.250,0
2026-03-12,1220.000,1238.750,1216.000,1225.750,0
2026-03-13,1229.000,1229.750,1209.250,1223.750,0
2026-03-16,1223.750,1214.000,1155.250,1155.000,0
2026-03-17,1155.000,1170.500,1145.250,1156.500,0
2026-03-18,1156.500,1165.250,1148.000,1163.500,0
2026-03-19,1165.000,1173.500,1157.000,1168.500,0
2026-03-20,1166.000,1176.000,1159.500,1160.500,0
2026-03-23,1160.500,1171.500,1152.500,1164.250,0
2026-03-24,1164.250,1166.750,1153.750,1154.000,0
2026-03-25,1153.500,1176.750,1151.500,1173.500,0
2026-03-26,1173.500,1179.750,1167.000,1171.000,0
2026-03-27,1172.000,1178.750,1155.750,1159.000,0
2026-03-30,1159.000,1170.000,1158.250,1158.750,0
2026-03-31,1158.750,1177.750,1156.000,1172.250,0
2026-04-01,1171.500,1174.750,1153.000,1166.750,0
2026-04-02,1167.250,1174.250,1162.000,1162.500,0
2026-04-06,1162.500,1169.750,1158.750,1164.750,0
2026-04-07,1164.750,1170.500,1155.250,1157.500,0
2026-04-08,1157.500,1163.000,1140.500,1161.250,0
2026-04-09,1178.000,1186.000,1176.000,1179.500,0
2026-04-10,1182.250,1194.500,1180.500,1189.500,0
2026-04-13,1189.500,1199.000,1175.000,1175.500,0
2026-04-14,1175.500,1183.000,1170.250,1170.500,0
2026-04-15,1171.000,1186.250,1171.000,1181.500,0
2026-04-16,1181.250,1186.500,1178.750,1178.750,0
2026-04-17,1179.000,1183.500,1168.000,1181.250,0
2026-04-20,1181.250,1187.250,1177.000,1180.750,0
2026-04-21,1180.750,1194.750,1180.750,1190.250,0
2026-04-22,1190.250,1201.250,1178.000,1179.000,0
2026-04-23,1180.250,1183.750,1172.500,1174.750,0
2026-04-24,1175.000,1179.250,1171.250,1176.750,0
2026-04-27,1176.750,1194.500,1176.750,1190.750,0
2026-04-28,1190.750,1192.750,1182.250,1190.250,0
2026-04-29,1190.250,1198.250,1187.000,1197.750,0
2026-04-30,1197.750,1206.250,1189.500,1195.000,0
2026-05-01,1195.500,1205.000,1193.750,1201.500,0
2026-05-04,1203.000,1226.250,1202.250,1222.250,0
2026-05-05,1222.000,1226.000,1210.000,1210.250,0
2026-05-06,1211.500,1214.750,1189.750,1194.000,0
2026-05-07,1195.000,1196.750,1182.500,1190.750,0
2026-05-08,1190.750,1210.250,1189.500,1205.750,0
2026-05-11,1205.750,1222.500,1207.000,1210.750,0
2026-05-12,1210.750,1232.750,1211.250,1225.000,0
2026-05-13,1225.000,1235.000,1222.000,1226.750,0
2026-05-14,1226.750,1227.750,1181.500,1193.500,0
2026-05-15,1193.750,1202.000,1172.250,1177.000,0
2026-05-18,1177.000,1218.500,1191.000,1212.000,0
2026-05-19,1213.000,1220.750,1208.000,1210.000,0
2026-05-20,1210.000,1212.000,1196.000,1199.000,0
2026-05-21,1199.000,1204.000,1191.000,1193.500,0
2026-05-22,1193.750,1201.500,1190.500,1197.000,0
2026-05-26,1197.000,1193.500,1184.500,1185.500,0
2026-05-27,1185.500,1191.250,1179.750,1185.500,0
2026-05-28,1186.000,1196.000,1185.000,1195.500,0
2026-05-29,1198.000,1200.750,1182.750,1186.500,0
2026-06-01,1186.750,1194.500,1177.750,1181.250,0
2026-06-02,1181.250,1182.750,1163.000,1164.250,0
2026-06-03,1167.500,1172.750,1152.500,1153.250,0
2026-06-04,1153.250,1155.250,1120.500,1128.750,0
2026-06-05,1130.250,1132.250,1117.500,1122.250,0
2026-06-08,1122.250,1125.250,1111.250,1116.500,0
2026-06-09,1135.500,1137.500,1129.750,1131.250,0
2026-06-10,1130.750,1143.500,1130.750,1139.000,0
2026-06-11,1139.000,1142.500,1126.500,1134.250,0
2026-06-12,1134.000,1137.250,1127.750,1132.500,0
2026-06-15,1132.500,1136.500,1121.750,1134.250,0
2026-06-16,1134.250,1156.500,1124.000,1145.500,0
2026-06-17,1146.000,1158.250,1144.500,1150.500,0
2026-06-18,1150.500,1152.750,1138.000,1141.750,0
2026-06-22,1141.750,1149.750,1140.500,1141.250,0
2026-06-23,1141.250,1149.500,1139.500,1141.250,0
2026-06-24,1141.250,1146.000,1133.250,1134.000,0
2026-06-25,1134.000,1160.250,1130.000,1157.500,0
2026-06-26,1157.500,1158.750,1148.000,1154.750,0
2026-06-29,1155.000,1155.250,1137.000,1137.500,0
2026-06-30,1137.500,1156.500,1124.750,1143.250,0
2026-07-01,1143.250,1161.250,1139.250,1149.250,0
2026-07-02,1148.000,1158.000,1146.250,1146.500,0
2026-07-06,1146.750,1197.000,1153.000,1190.750,0
2026-07-07,1190.750,1198.750,1186.750,1196.500,0
2026-07-08,1196.500,1204.000,1188.000,1188.250,0
2026-07-09,1188.250,1194.250,1178.000,1179.750,0
2026-07-10,1182.500,1199.000,1172.750,1189.500,0
2026-07-13,1189.500,1207.250,1191.250,1193.500,0
2026-07-14,1191.500,1194.000,1185.500,1190.500,0
2026-07-15,1191.000,1203.250,1184.750,1201.250,0
2026-07-16,1201.250,1206.750,1193.750,1193.750,0
2026-07-17,1194.750,1204.000,1186.500,1202.500,0
2026-07-20,1202.500,1232.000,1207.500,1225.000,0
2026-07-21,1225.000,1230.250,1217.250,1222.000,0
2026-07-22,1222.500,1240.750,1217.750,1238.250,0
2026-07-23,1237.000,1249.500,1235.500,1240.750,0
2026-07-24,1242.000,1256.500,1238.000,1252.500,0
2026-07-27,1252.500,1250.000,1211.000,1211.250,0
