date,open,high,low,close,volume
2025-09-09,7090.000,7090.000,7016.000,7062.000,191065
2025-09-10,7063.000,7079.000,7028.000,7065.000,171741
2025-09-11,7070.000,7104.000,7061.000,7081.000,166888
2025-09-12,7033.000,7060.000,7000.000,7020.000,190181
2025-09-15,7073.000,7116.000,7029.000,7087.000,218394
2025-09-16,7108.000,7194.000,7098.000,7158.000,232949
2025-09-17,7197.000,7208.000,7137.000,7152.000,119068
2025-09-18,7132.000,7156.000,7041.000,7074.000,190006
2025-09-19,7080.000,7086.000,6962.000,6992.000,264079
2025-09-22,6992.000,7008.000,6902.000,6928.000,253473
2025-09-23,6892.000,6908.000,6821.000,6870.000,234360
2025-09-24,6900.000,6957.000,6876.000,6928.000,245568
2025-09-25,6938.000,6983.000,6923.000,6958.000,192730
2025-09-26,6945.000,6966.000,6904.000,6949.000,208848
2025-09-29,6961.000,6977.000,6897.000,6932.000,176634
2025-09-30,6903.000,6911.000,6783.000,6835.000,213060
2025-10-09,6828.000,6840.000,6734.000,6818.000,181486
2025-10-10,6810.000,6838.000,6727.000,6743.000,175927
2025-10-13,6728.000,6763.000,6675.000,6690.000,224685
2025-10-14,6688.000,6688.000,6541.000,6544.000,219541
2025-10-15,6513.000,6579.000,6495.000,6540.000,212232
2025-10-16,6550.000,6606.000,6437.000,6600.000,291338
2025-10-17,6600.000,6600.000,6464.000,6483.000,223607
2025-10-20,6505.000,6568.000,6362.000,6365.000,266688
2025-10-21,6432.000,6523.000,6415.000,6463.000,220994
2025-10-22,6502.000,6567.000,6464.000,6566.000,194315
2025-10-23,6535.000,6627.000,6535.000,6574.000,204245
2025-10-24,6618.000,6630.000,6537.000,6539.000,248423
2025-10-27,6536.000,6579.000,6476.000,6531.000,309791
2025-10-28,6530.000,6540.000,6460.000,6466.000,243774
2025-10-29,6440.000,6520.000,6433.000,6513.000,255646
2025-10-30,6520.000,6554.000,6418.000,6421.000,316212
2025-10-31,6430.000,6517.000,6416.000,6471.000,286631
2025-11-03,6503.000,6536.000,6431.000,6446.000,329916
2025-11-04,6431.000,6456.000,6321.000,6354.000,515106
2025-11-05,6316.000,6341.000,6257.000,6321.000,389583
2025-11-06,6301.000,6321.000,6245.000,6300.000,273144
2025-11-07,6306.000,6372.000,6277.000,6317.000,319361
2025-11-10,6305.000,6348.000,6253.000,6315.000,293435
2025-11-11,6313.000,6334.000,6230.000,6231.000,239506
2025-11-12,6238.000,6316.000,6232.000,6306.000,285274
2025-11-13,6306.000,6443.000,6272.000,6437.000,489053
2025-11-14,6466.000,6516.000,6422.000,6450.000,367794
2025-11-17,6460.000,6547.000,6446.000,6496.000,362909
2025-11-18,6507.000,6526.000,6408.000,6465.000,263018
2025-11-19,6500.000,6600.000,6445.000,6583.000,302731
2025-11-20,6524.000,6640.000,6507.000,6595.000,388192
2025-11-21,6585.000,6617.000,6481.000,6507.000,371705
2025-11-24,6505.000,6505.000,6365.000,6436.000,469884
2025-11-25,6448.000,6484.000,6420.000,6446.000,285577
2025-11-26,6425.000,6558.000,6404.000,6533.000,402114
2025-11-27,6524.000,6582.000,6483.000,6520.000,373095
2025-11-28,6529.000,6577.000,6472.000,6566.000,290349
2025-12-01,6543.000,6566.000,6488.000,6549.000,270098
2025-12-02,6539.000,6589.000,6454.000,6564.000,396054
2025-12-03,6560.000,6635.000,6534.000,6585.000,407376
2025-12-04,6601.000,6650.000,6518.000,6574.000,338614
2025-12-05,6570.000,6610.000,6532.000,6556.000,246171
2025-12-08,6600.000,6676.000,6572.000,6669.000,373652
2025-12-09,6635.000,6647.000,6560.000,6576.000,290674
2025-12-10,6577.000,6595.000,6425.000,6469.000,354080
2025-12-11,6469.000,6578.000,6469.000,6505.000,307310
2025-12-12,6480.000,6525.000,6433.000,6442.000,245783
2025-12-15,6441.000,6541.000,6402.000,6487.000,223769
2025-12-16,6482.000,6521.000,6466.000,6513.000,151332
2025-12-17,6490.000,6509.000,6390.000,6404.000,325689
2025-12-18,6383.000,6445.000,6355.000,6385.000,316116
2025-12-19,6382.000,6439.000,6343.000,6402.000,340222
2025-12-22,6437.000,6543.000,6406.000,6540.000,385884
2025-12-23,6557.000,6613.000,6450.000,6509.000,445526
2025-12-24,6500.000,6628.000,6459.000,6598.000,460877
2025-12-25,6597.000,6645.000,6537.000,6638.000,337260
2025-12-26,6650.000,6790.000,6585.000,6787.000,449985
2025-12-29,6765.000,6818.000,6703.000,6737.000,450115
2025-12-30,6783.000,6843.000,6716.000,6781.000,328179
2025-12-31,6785.000,6862.000,6766.000,6791.000,300539
2026-01-05,6800.000,6830.000,6688.000,6739.000,269802
2026-01-06,6775.000,6820.000,6752.000,6811.000,255208
2026-01-07,6830.000,6875.000,6736.000,6828.000,340567
2026-01-08,6843.000,6890.000,6767.000,6807.000,366196
2026-01-09,6836.000,6903.000,6777.000,6895.000,331095
2026-01-12,6900.000,7112.000,6854.000,7074.000,507217
2026-01-13,7074.000,7099.000,6991.000,7028.000,352157
2026-01-14,7045.000,7157.000,7032.000,7116.000,347672
2026-01-15,7163.000,7192.000,7072.000,7103.000,301615
2026-01-16,7110.000,7240.000,7060.000,7178.000,538750
2026-01-19,7250.000,7367.000,7225.000,7348.000,384150
2026-01-20,7350.000,7350.000,7180.000,7248.000,340250
2026-01-21,7327.000,7506.000,7305.000,7340.000,721462
2026-01-22,7370.000,7696.000,7344.000,7694.000,981455
2026-01-23,7654.000,7850.000,7534.000,7708.000,1533070
2026-01-26,7750.000,7817.000,7636.000,7702.000,1006360
2026-01-27,7700.000,7715.000,7550.000,7649.000,949985
2026-01-28,7651.000,7876.000,7577.000,7785.000,980168
2026-01-29,7829.000,7919.000,7748.000,7913.000,910425
2026-01-30,7950.000,8027.000,7625.000,7714.000,1126398
2026-02-02,7775.000,7775.000,7394.000,7438.000,815340
2026-02-03,7452.000,7683.000,7452.000,7661.000,716053
2026-02-04,7690.000,7842.000,7670.000,7777.000,698161
2026-02-05,7808.000,7878.000,7641.000,7689.000,858820
2026-02-06,7615.000,7722.000,7588.000,7625.000,640235
2026-02-09,7603.000,7640.000,7414.000,7438.000,703453
2026-02-10,7433.000,7517.000,7337.000,7473.000,861459
2026-02-11,7465.000,7530.000,7392.000,7487.000,177083
2026-02-12,7510.000,7560.000,7426.000,7440.000,180260
2026-02-13,7400.000,7454.000,7323.000,7338.000,170776
2026-02-24,7500.000,7687.000,7486.000,7651.000,251826
2026-02-25,7645.000,7699.000,7555.000,7578.000,407910
2026-02-26,7575.000,7675.000,7545.000,7570.000,622477
2026-02-27,7540.000,7599.000,7474.000,7524.000,554087
2026-03-02,7598.000,7979.000,7509.000,7966.000,1072124
2026-03-03,7966.000,8163.000,7875.000,8081.000,1059462
2026-03-04,8190.000,8358.000,7972.000,8213.000,1158287
2026-03-05,8120.000,8659.000,8050.000,8656.000,1248518
2026-03-06,8706.000,8909.000,8672.000,8909.000,1485768
2026-03-09,9587.000,9587.000,9511.000,9587.000,132377
2026-03-10,10632.000,10632.000,8990.000,9915.000,2364949
2026-03-11,9999.000,10195.000,9226.000,9820.000,2187541
2026-03-12,10022.000,10785.000,9754.000,9926.000,2385494
2026-03-13,10150.000,10235.000,9671.000,10000.000,1674233
2026-03-16,9800.000,10370.000,9630.000,10146.000,1316900
2026-03-17,9900.000,10315.000,9650.000,10204.000,1006004
2026-03-18,10068.000,10220.000,9726.000,9968.000,793383
2026-03-19,10300.000,10630.000,10170.000,10221.000,585947
2026-03-20,10170.000,10306.000,9752.000,10151.000,523419
2026-03-23,10110.000,11132.000,10110.000,11070.000,835232
2026-03-24,10006.000,10583.000,10006.000,10242.000,888114
2026-03-25,10380.000,10419.000,9580.000,10105.000,760498
2026-03-26,10056.000,10150.000,9936.000,10046.000,520157
2026-03-27,10249.000,10660.000,10204.000,10624.000,968319
2026-03-30,10850.000,11100.000,10628.000,10789.000,890145
2026-03-31,10652.000,10920.000,10412.000,10597.000,791380
2026-04-01,10668.000,10668.000,9849.000,9856.000,885149
2026-04-02,10016.000,10495.000,9786.000,10331.000,802246
2026-04-03,10641.000,10730.000,10137.000,10596.000,728358
