date,open,high,low,close,volume
2025-09-11,1117.500,1149.000,1117.500,1141.500,1064365
2025-09-12,1140.000,1152.000,1125.000,1144.500,959111
2025-09-15,1147.500,1198.000,1147.000,1187.500,1242285
2025-09-16,1200.000,1249.000,1195.000,1240.500,1466001
2025-09-17,1255.000,1258.500,1208.500,1233.000,1392210
2025-09-18,1230.000,1237.500,1192.000,1203.500,1192468
2025-09-19,1203.000,1234.000,1200.500,1232.000,1078119
2025-09-22,1236.500,1253.000,1204.000,1217.500,1299354
2025-09-23,1214.000,1224.000,1193.500,1217.500,1065414
2025-09-24,1221.000,1237.000,1207.500,1224.500,1105274
2025-09-25,1229.500,1239.000,1215.000,1234.500,735240
2025-09-26,1229.500,1232.500,1195.000,1196.500,832745
2025-09-29,1191.000,1194.500,1152.500,1154.000,855255
2025-09-30,1155.500,1168.000,1117.500,1126.000,704064
2025-10-09,1126.000,1169.500,1126.000,1164.000,495533
2025-10-10,1170.000,1179.000,1151.500,1161.000,700936
2025-10-13,1163.000,1174.500,1128.000,1146.000,818806
2025-10-14,1150.000,1162.500,1116.000,1153.500,968042
2025-10-15,1150.000,1164.000,1131.500,1151.000,933698
2025-10-16,1155.000,1186.500,1142.500,1185.500,981288
2025-10-17,1190.500,1194.500,1172.000,1179.000,869924
2025-10-20,1190.000,1238.500,1187.000,1216.000,1072864
2025-10-21,1216.000,1216.000,1173.000,1177.000,914637
2025-10-22,1180.000,1212.500,1180.000,1209.500,765910
2025-10-23,1211.500,1261.000,1205.500,1258.500,1017667
2025-10-24,1261.000,1266.500,1239.000,1248.500,1033014
2025-10-27,1249.000,1267.000,1227.000,1263.500,976752
2025-10-28,1265.000,1272.000,1239.500,1242.000,848493
2025-10-29,1242.000,1307.000,1238.500,1302.000,1073974
2025-10-30,1303.000,1316.000,1282.500,1288.000,1060058
2025-10-31,1283.000,1318.000,1276.000,1286.000,1034091
2025-11-03,1286.000,1303.000,1267.000,1284.500,1020691
2025-11-04,1288.000,1295.000,1251.000,1253.000,860822
2025-11-05,1256.500,1276.500,1244.000,1268.500,807948
2025-11-06,1269.000,1294.500,1265.000,1290.500,915849
2025-11-07,1290.500,1294.500,1261.000,1270.000,829948
2025-11-10,1265.000,1276.000,1247.000,1265.500,835521
2025-11-11,1265.000,1271.500,1213.000,1213.000,1001695
