date,open,high,low,close,volume
2025-09-10,1681.000,1692.000,1668.000,1669.000,168507
2025-09-11,1669.000,1676.000,1666.000,1671.000,125326
2025-09-12,1665.000,1676.000,1661.000,1663.000,124647
2025-09-15,1666.000,1688.000,1665.000,1683.000,166237
2025-09-16,1700.000,1704.000,1683.000,1686.000,129472
2025-09-17,1685.000,1687.000,1676.000,1681.000,92745
2025-09-18,1681.000,1681.000,1662.000,1670.000,114090
2025-09-19,1672.000,1676.000,1656.000,1661.000,112725
2025-09-22,1655.000,1666.000,1650.000,1660.000,113802
2025-09-23,1655.000,1664.000,1652.000,1658.000,112495
2025-09-24,1662.000,1681.000,1658.000,1673.000,193183
2025-09-25,1677.000,1679.000,1671.000,1674.000,95817
2025-09-26,1676.000,1683.000,1666.000,1669.000,114516
2025-09-29,1666.000,1668.000,1639.000,1664.000,170093
2025-09-30,1660.000,1674.000,1660.000,1670.000,100071
2025-10-09,1648.000,1648.000,1604.000,1609.000,253715
2025-10-10,1612.000,1614.000,1593.000,1597.000,161077
2025-10-13,1590.000,1617.000,1583.000,1610.000,190493
2025-10-14,1606.000,1616.000,1592.000,1597.000,141111
2025-10-15,1600.000,1611.000,1596.000,1600.000,117987
2025-10-16,1599.000,1610.000,1577.000,1604.000,155104
2025-10-17,1604.000,1608.000,1591.000,1602.000,109205
2025-10-20,1605.000,1619.000,1596.000,1600.000,159706
2025-10-21,1597.000,1622.000,1596.000,1609.000,158910
2025-10-22,1611.000,1625.000,1610.000,1621.000,121985
2025-10-23,1628.000,1640.000,1619.000,1638.000,147829
2025-10-24,1633.000,1647.000,1631.000,1642.000,150966
2025-10-27,1647.000,1655.000,1635.000,1640.000,105069
2025-10-28,1636.000,1645.000,1626.000,1635.000,102573
2025-10-29,1638.000,1652.000,1633.000,1644.000,150559
2025-10-30,1648.000,1648.000,1618.000,1627.000,150829
2025-10-31,1627.000,1637.000,1623.000,1625.000,102839
2025-11-03,1618.000,1629.000,1606.000,1623.000,159564
2025-11-04,1624.000,1638.000,1615.000,1630.000,140396
2025-11-05,1625.000,1644.000,1620.000,1633.000,155467
2025-11-06,1630.000,1653.000,1628.000,1644.000,148885
2025-11-07,1665.000,1679.000,1656.000,1667.000,321705
2025-11-10,1670.000,1670.000,1652.000,1660.000,174463
2025-11-11,1660.000,1662.000,1636.000,1640.000,142274
2025-11-12,1643.000,1667.000,1634.000,1655.000,231417
2025-11-13,1652.000,1661.000,1640.000,1658.000,145137
2025-11-14,1652.000,1657.000,1643.000,1652.000,115535
2025-11-17,1650.000,1667.000,1641.000,1662.000,192398
2025-11-18,1655.000,1671.000,1653.000,1662.000,166685
2025-11-19,1665.000,1675.000,1660.000,1663.000,156241
2025-11-20,1661.000,1674.000,1648.000,1665.000,209245
2025-11-21,1666.000,1669.000,1651.000,1654.000,144788
2025-11-24,1647.000,1652.000,1626.000,1638.000,186709
2025-11-25,1639.000,1642.000,1627.000,1630.000,97807
2025-11-26,1630.000,1663.000,1625.000,1654.000,208209
2025-11-27,1653.000,1672.000,1653.000,1668.000,158743
2025-11-28,1679.000,1687.000,1670.000,1677.000,173436
2025-12-01,1682.000,1691.000,1673.000,1675.000,108959
2025-12-02,1680.000,1689.000,1671.000,1687.000,86067
2025-12-03,1684.000,1697.000,1679.000,1692.000,120620
2025-12-04,1695.000,1710.000,1682.000,1688.000,155991
2025-12-05,1696.000,1696.000,1670.000,1673.000,110200
2025-12-08,1661.000,1670.000,1640.000,1646.000,216710
2025-12-09,1646.000,1651.000,1635.000,1643.000,140223
2025-12-10,1650.000,1655.000,1640.000,1645.000,98550
2025-12-11,1651.000,1656.000,1635.000,1638.000,113932
2025-12-12,1631.000,1637.000,1624.000,1625.000,100051
2025-12-15,1693.000,1701.000,1679.000,1681.000,86214
2025-12-16,1678.000,1681.000,1666.000,1673.000,85395
2025-12-17,1673.000,1687.000,1671.000,1683.000,98001
2025-12-18,1696.000,1720.000,1684.000,1708.000,212160
2025-12-19,1705.000,1705.000,1692.000,1697.000,104085
2025-12-22,1705.000,1706.000,1694.000,1698.000,95294
2025-12-23,1704.000,1727.000,1698.000,1721.000,178143
2025-12-24,1721.000,1743.000,1719.000,1735.000,166721
2025-12-25,1732.000,1742.000,1727.000,1740.000,107781
2025-12-26,1737.000,1742.000,1728.000,1735.000,103225
2025-12-29,1729.000,1748.000,1721.000,1735.000,114679
2025-12-30,1735.000,1764.000,1732.000,1743.000,172512
2025-12-31,1740.000,1750.000,1736.000,1749.000,87986
2026-01-05,1758.000,1774.000,1753.000,1768.000,180967
2026-01-06,1770.000,1791.000,1770.000,1778.000,164107
2026-01-07,1790.000,1794.000,1774.000,1790.000,151996
2026-01-08,1780.000,1791.000,1771.000,1776.000,130189
2026-01-09,1776.000,1787.000,1772.000,1777.000,107441
2026-01-12,1782.000,1784.000,1764.000,1783.000,115726
2026-01-13,1779.000,1788.000,1768.000,1774.000,106933
2026-01-14,1775.000,1817.000,1773.000,1814.000,206706
2026-01-15,1814.000,1820.000,1795.000,1801.000,144515
2026-01-16,1798.000,1814.000,1785.000,1791.000,156787
2026-01-19,1788.000,1793.000,1770.000,1772.000,115182
2026-01-20,1772.000,1780.000,1756.000,1775.000,175891
2026-01-21,1773.000,1782.000,1765.000,1779.000,92925
2026-01-22,1783.000,1788.000,1775.000,1776.000,103950
2026-01-23,1781.000,1797.000,1779.000,1788.000,115076
2026-01-26,1791.000,1801.000,1783.000,1791.000,114231
2026-01-27,1787.000,1799.000,1772.000,1790.000,150789
2026-01-28,1795.000,1830.000,1790.000,1799.000,263802
2026-01-29,1801.000,1822.000,1801.000,1817.000,139633
2026-01-30,1817.000,1818.000,1783.000,1790.000,196929
2026-02-02,1787.000,1798.000,1780.000,1787.000,161474
2026-02-03,1786.000,1788.000,1767.000,1770.000,143804
2026-02-04,1772.000,1796.000,1768.000,1787.000,130536
2026-02-05,1784.000,1785.000,1771.000,1778.000,105472
2026-02-06,1775.000,1786.000,1766.000,1776.000,102878
2026-02-09,1784.000,1807.000,1784.000,1788.000,149816
