date,open,high,low,close,volume
2025-09-12,558.250,561.750,553.000,560.250,0
2025-09-15,560.250,567.000,559.000,563.500,0
2025-09-16,563.500,572.750,563.250,572.000,0
2025-09-17,572.000,574.250,565.750,567.250,0
2025-09-18,567.250,571.250,562.750,563.750,0
2025-09-19,564.000,565.750,559.750,561.750,0
2025-09-22,562.750,562.750,549.750,551.750,0
2025-09-23,551.750,561.500,549.250,561.250,0
2025-09-24,561.250,564.250,560.000,560.000,0
2025-09-25,562.250,567.250,559.500,565.750,0
2025-09-26,565.500,567.750,559.500,559.750,0
2025-09-29,559.250,562.750,557.500,560.250,0
2025-09-30,560.250,560.250,550.500,551.000,0
2025-10-01,551.750,553.250,545.250,553.000,0
2025-10-02,553.250,558.500,552.000,556.500,0
2025-10-03,555.250,559.750,555.250,556.500,0
2025-10-06,556.500,558.500,554.250,554.750,0
2025-10-07,553.500,556.500,549.250,549.250,0
2025-10-08,549.250,551.500,547.500,550.500,0
2025-10-09,550.250,552.750,548.000,548.750,0
2025-10-10,548.750,550.750,538.250,539.250,0
2025-10-13,539.250,541.750,535.750,537.250,0
2025-10-14,537.250,542.000,533.500,540.750,0
2025-10-15,541.750,541.750,536.000,538.750,0
2025-10-16,538.750,542.250,535.750,540.750,0
2025-10-17,540.750,543.500,539.250,542.250,0
2025-10-20,542.250,544.500,540.750,544.250,0
2025-10-21,544.750,545.500,537.750,539.500,0
2025-10-22,538.750,543.750,538.000,541.000,0
2025-10-23,541.000,550.000,540.250,549.750,0
2025-10-24,549.000,552.500,547.500,550.000,0
2025-10-27,550.000,566.250,554.250,563.750,0
2025-10-28,563.750,573.500,563.000,569.500,0
2025-10-29,569.500,571.500,565.000,568.000,0
2025-10-30,568.000,568.750,556.500,562.500,0
2025-10-31,562.750,568.000,556.250,565.500,0
2025-11-03,565.500,577.750,565.250,577.750,0
2025-11-04,577.750,580.750,571.750,579.750,0
2025-11-05,579.750,585.000,576.500,584.000,0
2025-11-06,584.000,584.000,568.000,568.000,0
2025-11-07,566.250,570.000,560.500,561.500,0
2025-11-10,561.500,570.750,562.250,568.750,0
2025-11-11,568.750,573.750,565.000,572.250,0
2025-11-12,572.250,575.250,564.250,575.000,0
2025-11-13,575.000,577.750,570.500,574.000,0
2025-11-14,574.000,580.500,562.000,562.000,0
2025-11-17,562.000,578.000,561.250,577.500,0
2025-11-18,577.500,582.000,573.750,577.250,0
2025-11-19,577.250,579.250,566.500,567.250,0
2025-11-20,567.000,571.500,557.750,558.750,0
2025-11-21,558.750,561.500,553.750,559.250,0
2025-11-24,559.250,559.000,549.500,552.000,0
2025-11-25,552.000,556.750,550.000,554.750,0
2025-11-26,554.750,560.500,552.500,557.750,0
2025-11-28,558.750,559.250,551.750,555.000,0
2025-12-01,555.000,558.500,550.000,551.750,0
2025-12-02,551.750,558.750,546.500,556.000,0
2025-12-03,556.000,557.250,552.000,553.250,0
2025-12-04,553.250,556.500,548.250,555.250,0
2025-12-05,555.250,556.500,550.000,550.750,0
2025-12-08,550.750,554.500,548.500,550.000,0
2025-12-09,550.000,553.000,547.000,549.500,0
2025-12-10,549.500,550.500,542.250,545.500,0
2025-12-11,545.500,550.500,545.250,549.250,0
2025-12-12,549.750,551.250,544.750,545.750,0
2025-12-15,545.750,545.750,537.500,538.250,0
2025-12-16,538.250,540.000,529.000,529.500,0
2025-12-17,529.500,532.250,526.250,528.000,0
2025-12-18,529.000,531.500,526.000,530.000,0
2025-12-19,530.000,533.250,527.500,531.250,0
2025-12-22,531.250,539.500,532.000,537.000,0
2025-12-23,536.500,539.750,535.750,539.000,0
2025-12-24,539.000,546.500,539.500,544.500,0
2025-12-26,544.500,546.750,540.500,543.500,0
2025-12-29,541.750,544.000,536.000,536.500,0
2025-12-30,536.500,538.750,533.500,533.500,0
2025-12-31,533.500,535.500,530.500,530.500,0
2026-01-02,530.750,532.250,525.750,530.750,0
2026-01-05,530.750,537.250,530.500,536.000,0
2026-01-06,536.000,536.750,532.250,532.250,0
2026-01-07,532.250,540.500,531.250,539.500,0
2026-01-08,539.500,544.250,538.000,541.000,0
2026-01-09,541.000,544.000,537.250,541.250,0
2026-01-12,541.250,550.750,531.500,536.500,0
2026-01-13,536.500,537.250,531.500,534.000,0
2026-01-14,534.750,537.750,532.250,536.250,0
2026-01-15,536.500,541.000,533.000,533.000,0
2026-01-16,533.000,543.000,533.250,540.500,0
2026-01-20,540.500,542.750,533.250,534.000,0
2026-01-21,534.750,539.500,531.000,532.250,0
2026-01-22,532.250,540.500,531.750,539.250,0
2026-01-23,539.000,552.250,538.500,551.000,0
2026-01-26,551.000,554.000,544.500,545.000,0
2026-01-27,545.000,547.500,542.250,544.000,0
2026-01-28,544.000,559.250,543.750,554.000,0
2026-01-29,554.000,562.250,554.250,561.000,0
2026-01-30,561.000,562.500,553.250,556.250,0
2026-02-02,556.250,557.500,545.750,547.000,0
2026-02-03,548.000,550.750,545.750,549.000,0
2026-02-04,549.000,552.000,542.750,547.000,0
2026-02-05,547.000,555.750,543.000,554.250,0
2026-02-06,554.250,558.500,547.500,549.500,0
2026-02-09,549.500,550.000,545.250,548.500,0
2026-02-10,548.500,551.500,544.750,548.500,0
2026-02-11,548.500,556.000,546.250,554.000,0
2026-02-12,554.000,566.500,552.500,566.250,0
2026-02-13,566.250,566.750,556.500,557.000,0
2026-02-17,557.000,556.500,548.000,551.500,0
2026-02-18,551.500,561.000,551.000,560.750,0
2026-02-19,560.000,577.500,558.000,577.000,0
2026-02-20,577.000,589.000,572.000,588.500,0
2026-02-23,588.500,591.250,581.500,581.750,0
2026-02-24,581.750,587.500,579.500,581.000,0
2026-02-25,581.000,584.500,572.250,578.250,0
2026-02-26,578.250,583.250,575.750,581.750,0
2026-02-27,581.750,603.250,580.750,598.750,0
2026-03-02,598.750,610.500,583.000,584.250,0
2026-03-03,583.750,594.250,578.500,584.000,0
