date,open,high,low,close,volume
2025-09-09,2876.500,2882.000,2842.000,2865.000,9469
2025-09-10,2865.000,2892.000,2857.500,2887.500,8177
2025-09-11,2887.500,2905.500,2876.500,2903.000,9982
2025-09-12,2905.500,2960.000,2900.500,2950.500,14933
2025-09-15,2950.500,2985.000,2943.500,2981.500,12334
2025-09-16,2982.000,3003.500,2961.000,2982.500,11490
2025-09-17,2983.500,2998.500,2937.000,2939.500,15170
2025-09-18,2948.500,2948.500,2904.500,2912.000,11614
2025-09-19,2912.000,2926.000,2878.000,2890.500,10062
2025-09-22,2890.500,2934.000,2888.500,2899.000,11120
2025-09-23,2902.500,2904.500,2852.000,2889.500,8575
2025-09-24,2893.000,2945.000,2875.000,2922.500,10576
2025-09-25,2927.000,2960.000,2913.500,2920.000,11763
2025-09-26,2924.000,2933.000,2880.500,2886.500,8495
2025-09-29,2886.500,2944.500,2884.000,2936.000,10254
2025-09-30,2942.500,2975.500,2905.500,2953.000,11093
2025-10-01,2960.000,2990.000,2955.000,2988.000,12564
2025-10-02,2988.000,3038.500,2981.000,3011.500,13180
2025-10-03,3024.500,3039.500,2984.000,3030.000,12859
2025-10-06,3028.000,3040.500,3002.500,3004.000,9528
2025-10-07,3003.000,3048.000,2993.500,3041.500,13825
2025-10-08,3043.000,3047.500,2993.500,3043.000,11627
2025-10-09,2991.000,3080.000,2980.500,3013.500,22511
2025-10-10,3022.000,3060.000,2970.000,2984.000,17131
2025-10-13,3002.500,3040.000,2987.000,3011.500,13569
2025-10-14,3023.000,3026.500,2911.500,2950.000,19758
2025-10-15,2955.000,2976.000,2926.500,2937.500,12374
2025-10-16,2944.500,2976.000,2940.000,2967.500,7752
2025-10-17,2963.000,2972.000,2914.000,2963.000,11241
2025-10-20,2938.000,2982.500,2935.000,2973.500,8683
2025-10-21,2975.500,3008.000,2973.000,2991.000,12660
2025-10-22,2991.000,3031.500,2982.000,3019.000,12217
2025-10-23,3026.500,3050.000,2995.000,3022.000,15843
2025-10-24,3023.000,3040.000,2993.000,3019.500,11639
2025-10-27,3044.000,3060.000,3029.000,3056.000,10847
2025-10-28,3051.000,3068.000,3008.500,3054.000,11234
2025-10-29,3051.000,3094.500,3050.000,3066.500,10774
2025-10-30,3066.500,3074.000,3022.000,3043.000,10450
2025-10-31,3046.500,3070.000,3020.500,3049.500,8996
2025-11-03,3054.500,3115.000,3049.500,3108.000,11088
2025-11-04,3107.500,3112.500,3070.000,3075.000,14731
2025-11-05,3073.500,3094.000,3035.500,3052.000,13888
