date,category,title,detail
2026-09-28,新股申购,南方乳业（北交所）新股申购,发行价 14.21 元
2026-09-28,新股申购,联亚药业（深交所其他）新股申购,发行价 7 元
2026-09-28,限售解禁,国货航 限售解禁,解禁市值约 221.1亿 · 首发原股东
2026-09-28,限售解禁,信科移动 限售解禁,解禁市值约 172.6亿 · 追加承诺
2026-09-28,限售解禁,锦华新材 限售解禁,解禁市值约 43.3亿 · 公开发行原股东
2026-09-28,限售解禁,三态股份 限售解禁,解禁市值约 38.3亿 · 首发原股东
2026-09-28,限售解禁,建发致新 限售解禁,解禁市值约 36.4亿 · 首发原股东
2026-09-28,限售解禁,联合动力 限售解禁,解禁市值约 18.1亿 · 首发原股东
2026-09-28,限售解禁,开特股份 限售解禁,解禁市值约 10.5亿 · 公开发行原股东
2026-09-28,限售解禁,昊创瑞通 限售解禁,解禁市值约 7.6亿 · 首发原股东
2026-09-28,限售解禁,东方钽业 限售解禁,解禁市值约 6.7亿 · 定向增发机构配售股份
2026-09-28,限售解禁,深高速 限售解禁,解禁市值约 6.1亿 · 定向增发机构配售股份
2026-09-28,分红除权,达梦数据 除权除息,"10派7.00元(含税,扣税后6.30元)"
2026-09-28,分红除权,嘉立创 除权除息,"10派5.00元(含税,扣税后4.50元)"
2026-09-28,分红除权,四方股份 除权除息,"10派4.80元(含税,扣税后4.32元)"
2026-09-28,分红除权,杭州银行 除权除息,"10派4.60元(含税,扣税后4.14元)"
2026-09-28,分红除权,厦门钨业 除权除息,"10派4.20元(含税,扣税后3.78元)"
2026-09-28,分红除权,恒林股份 除权除息,"10派3.60元(含税,扣税后3.24元)"
2026-09-28,分红除权,千岸科技 除权除息,"10派3.34元(含税,扣税后3.006元)"
2026-09-28,分红除权,麦加芯彩 除权除息,"10派3.20元(含税,扣税后2.88元)"
2026-09-28,分红除权,许继电气 除权除息,"10派1.64元(含税,扣税后1.476元)"
2026-09-28,分红除权,华伍股份 除权除息,"10派1.20元(含税,扣税后1.08元)"
